0,"Anthony M. Kennedy  Well, I...  I think the same thing that's bothering Justice Scalia, or that prompted his question in any event, is...  is troubling me.  When I...  I read the briefs, I...  I thought that the coerced loan approach, which you object to, did have certain deficiencies, because you had to have testimony what the interest rate is, you have to conform it to the particular transaction, it's hard to administer.  I frankly don't see how yours is much different because you add a premium to the prime rate.  What is that premium going to be?  Why shouldn't it depend on the transaction?  Why shouldn't it depend on the risk of default?  Why doesn't your approach have all of the same problems as the coerced loan approach?   Anthony M. Kennedy  Well, but if that was true, you could bring up the same thing when you're cross-examining the expert on the coerced loan approach and say, well, we don't want 21 percent because there's a wage assignment.  It's the same answer.   Anthony M. Kennedy  So you think a lender has two different loan candidates in front of him, one he thinks is going to go through bankruptcy and the other he thinks is not, so he's going to give the loan to the first one?   Anthony M. Kennedy  That's...  that's very difficult for me to assume.   Anthony M. Kennedy  So, but you're saying...  but you're saying that under the respondent's view, that...  that the creditors would be treated differently?   ",02-1016
1,"Anthony M. Kennedy  Well, can you tell me why is it that the petitioners tell us that their standard is so much easier to administer?  Is it because the courts aren't administering it in the right way?  As I listened to it, it seems to me I have two choices.  I can begin with a low rate and add or I can begin with a high rate and...  and subtract.  Why...  why is one any more easy to administer than...  than the other?   Anthony M. Kennedy  In fact, it...  it would seem to me...  and this I suppose helps you...  that if the courts which are using the petitioners' formula are doing it the right way, it might even be harder to administer.  They...  they avoid that problem by just accepting some interest factor of 1 to 3 percent out of the blue although I don't know how they do that.   Anthony M. Kennedy  I...  I don't think it's certainly conclusive of the point, but the initial 21 percent rate, I take it, did take into account the risk of default.  So in a sense, the creditor has received up front some compensation for the risk that in fact has occurred.   Anthony M. Kennedy  Well, but...  but overall, you account for that.   Anthony M. Kennedy  The...  the Bankruptcy Code, I take it, has solicitude for debtors.  Isn't that one of its purposes?   Anthony M. Kennedy  Or does that just drop out when we come to the cramdown problem?   Anthony M. Kennedy  But...  but I...  I thought difficulty of administration charge was the one that the petitioners were making against you.  How...  how do I sort that out?   ",02-1016
1,"Anthony M. Kennedy  I... I want you... I think the whole bench wants you... to talk about State versus Federal, but as just one preliminary question... I don't mean to... if it's State law, do we know what the answer is?  We don't seem to know the answer under Federal law.  Do we know the answer under--   INTERRUPTING Anthony M. Kennedy  --Alabama law applies.  Is it then clear that one side or the other prevails?   Anthony M. Kennedy  I was afraid that would be your answer.   INTERRUPTING Anthony M. Kennedy  What about the question of Federal... Federal or State law?   Anthony M. Kennedy  Is that the first of your three... you said there are three... three theories.   Anthony M. Kennedy  All right.  And the second?   Anthony M. Kennedy  Suppose there had been... been no agreement by the parties.  What would your position be as to the law that controls the construction of the ICC Kirby contract?   ",02-1028
0,"Anthony M. Kennedy  Are there cases where the owner of the goods sues the forwarder for making improvident contracts for... for shipping it with liability limits that are too low?   INTERRUPTING Anthony M. Kennedy  No, but I don't--   Anthony M. Kennedy  --I don't know that... that answer would help you because then you... you would say that the... under... under your view that the cargo owner simply has... has no recourse whatever against whatever the forwarder does.  The forwarder--   ",02-1028
1,"Anthony M. Kennedy  The...  the...  you...  you said that they had to be used judiciously and that's a good word, but our...  do our precedents in this area generally say, well, we defer to the good judgement of the police, they won't use them too often.  The Illinois Supreme Court said, oh, if we allow this, we're going to have roadblocks every other...  every day, every other street and in part that's hyperbole, but on the other hand, it does caution us that there should be some limiting principle and I just don't know if our precedents would support us in adopting your word, oh, if it's used judiciously.   Anthony M. Kennedy  If you had that kind of a roadblock and one of the drivers just about ran into the policeman, do you think that the court...  the courts would entertain the argument that, well, the initial stop was invalid, therefore running into the policeman...  it cannot be grounds for the arrest?  I...  it's just a clumsy way of asking, I guess, whether...  whether or not there is any kind of a causation break here, causation link problem.   Anthony M. Kennedy  Well, following Justice Ginsburg's question, which is the easier of the two cases?  The one we have here or a hypothetical case in which they have a description of the hit-and-run driver and they stop everybody to look in the car to see if the driver meets the description?  Which is the easier of the two cases to sustain?   Anthony M. Kennedy  A week later, everything else the same.   Anthony M. Kennedy  And what's the third reason?   Anthony M. Kennedy  I have a pending question about the...  the third reason.  I...  what's the third reason?   Anthony M. Kennedy  So this is a built-in limitation on the frequency of its use?   ",02-1060
0,"Anthony M. Kennedy  Are there indications nationwide that the public makes objection to roadblocks, other than the person that's caught for drunk driving?   Anthony M. Kennedy  I mean, is there evidence of that?   ",02-1060
1,"Anthony M. Kennedy  It's... it's Aviall's complaint, not yours, so I can ask them.  But what... what's your understanding or... or best conclusion as to why they didn't sue under 107?   Anthony M. Kennedy  Can you tell me why they did that?   Anthony M. Kennedy  But I had thought that the district court all but invited them to... to state a 107 cause of action, and they didn't accept the district judge's invitation, as... as I read the record.   Anthony M. Kennedy  Do you... do you think there's a 107 action by one PRP against another?   Anthony M. Kennedy  What about in... what about in this case?   Anthony M. Kennedy  Well, but--   INTERRUPTING Anthony M. Kennedy  --if you're... if you're going to take the position below that a PRP can't sue, then maybe that would have some bearing on how we'd interpret 113.   ",02-1192
0,NO QUESTIONS,02-1192
1,"Anthony M. Kennedy  Is it your view that in all instances we must interpret this statute so that any entity...  that phrase...  does not include a local subdivision of the State?   Anthony M. Kennedy  It would be under the circumstances of this case.  Are there other circumstances in which it would not intrude on the right of the State to allocate powers between itself and the localities so that this statute...  so that this interpretation would have an effect in some other instance?   Anthony M. Kennedy  So suppose that a State says that no political subdivision in this State shall have the telecommunications facility that does interactive television unless the carrier that it contracts with pays the city a fee of $1 million.  Could the State do that?   Anthony M. Kennedy  And you'd say...  in other words, it's conditioning the ability of its subdivisions to engage in this by demanding that it extract certain financial consideration, and suppose that this is prohibitive.   Anthony M. Kennedy  Well, suppose...  suppose...   ",02-1238
0,"Anthony M. Kennedy  Does the word, any entity, cover the State itself?   Anthony M. Kennedy  So if the Governor is about to sign a contract to...  to allow the State to enter into communications facilities and the legislature instructs him not to, that statute is void?   Anthony M. Kennedy  Why don't neutral principles of corporate governance apply to the relations between the State and its subdivisions?   Anthony M. Kennedy  Suppose there's a constitutional provision.   Anthony M. Kennedy  But you say that it can't be made precise to telecommunications.   Anthony M. Kennedy  That was my example in the State hypothetical, in the first hypothetical.   Anthony M. Kennedy  Well, here it was operating as a general rule that subdivisions have to do what the State tells them to.   Anthony M. Kennedy  I don't see why the general rule applies in one instance and not the other, given your definition of entity.   Anthony M. Kennedy  But those are all under the Fourteenth Amendment where the Thirteenth...  Fourteenth Amendment altered the Federal balance with reference to those.  That's not what's involved here.   ",02-1238
