0,"Antonin Scalia  When you say traditionally it's been understood to mean real interest rate plus time value of money, it means real interest rate for the particular lender.  Isn't...  I mean, the...  the interest rate that is given to different lenders is not always the same.   Antonin Scalia  Well, that's right, but the interest rate that I have to pay when I buy a house with a very small down payment is much higher than the interest I have to pay if I make a much larger down payment.   Antonin Scalia  And the interest I have to pay, if I make, you know, over $200,000 a year is less than I would get if I have a lower income.  So you can't just speak of a fair interest rate in the abstract as though it's a...  it...  it's a platonic number floating out there.  It certainly depends upon the solvency and...  and the record of payment of the person paying the interest.  Isn't that right?   Antonin Scalia  I'm surprised to hear you saying this because I thought your brief acknowledged that even after you begin with the...  with a discount rate, you know, the...  the Fed's discount rate...  I thought your briefs acknowledged that the bankruptcy court could add to that a...  a surcharge depending upon the riskiness of the chapter 13 debtor.   Antonin Scalia  You didn't acknowledge that?  I thought your brief acknowledged that.  I'm...  you...  you really want to use the discount rate, period, and nothing...  nothing tagged on top of it.   Antonin Scalia  You think that makes this a better...  a better borrower?  It...  it makes it a safer loan when you're...  when you're...  you're owed money by somebody who has already been through bankruptcy once?  You think you're in better shape?   Antonin Scalia  Gee, that's...  that's a novel approach.   Antonin Scalia  It's still not a very good risk.  I mean, you...   Antonin Scalia  you lend money to somebody.  Your chances of getting it back are 2 out of 3?   Antonin Scalia  Well, I think it's better than 2 out of 3.   Antonin Scalia  Let...  let me ask you a...  the...  the way I see these two approaches.  I'm assuming that...  that you're...  you're willing to allow over the prime rate some addition which the...  the courts that...  that follow your...  your favored approach do allow for risk factor.  So under your theory, you take the prime rate, and then it is up to the bankruptcy judge to assess what the risk is, something that I think judges are probably not very well qualified to do.  You know when...  when you pick the prime rate, that that's not the market rate.  It obviously isn't.  So it's well below the market rate.  I mean, here you had a 21 percent loan and you're going to take what?   Antonin Scalia  I don't know.   Antonin Scalia  A prime rate of 8 percent at most?  You know it's wrong.  And then the bankruptcy judge has to make it right.  Okay?  Under the other approach, you take the market rate, the rate that was actually adopted between these...  these two people operating in a free market.  Now, it...  it may be...  may be high, it may be low.  You don't know for sure that it's either one.  It's...  it's...  it may be accurate.  It is not surely inaccurate the way picking the prime is.  And then the adjustment to be made by the bankruptcy judge is much less.  If there are some special factors that show a lesser risk now than there was when the loan was originally made, he might take them into account.  Now, as I see it, the less discretion that is left to the bankruptcy judge and the more weight that is given to the...  to the real forces of the operating market, the better off we are.  I...  I don't think that bankruptcy judges are very good risk calculators.   Antonin Scalia  I'm talking about using the rate of the loan that was actually made.   Antonin Scalia  No, but he has to be given the current value of his security and the current value of his security, which is not going to be received 20 years from now or 5 years from now, depends upon how much of a credit risk there is that that money will actually be paid.   Antonin Scalia  In...  in an open market.  And if the debtor could have gotten...  it's a very competitive market, as I understand it.  And if the debtor could have gotten a lower rate elsewhere, he presumably would have.   Antonin Scalia  I'm just saying that that's...  that that's a reasonable starting point.  Now, if there has to be an adjustment because market rates have gone down since then, that minor adjustment can be made, but that's going to be much less of an adjustment than you're going to have to leave to the bankruptcy judge if you begin with the prime rate which you know is wrong.  You know that nobody would have made this...  this car loan at the prime rate.   Antonin Scalia  As I understand it, your expert in this case, your economist, testified that the prime rate was 8 percent and that in his view a reasonable risk premium would be 1.5.  But he conceded under cross-examination that he was unfamiliar with the relevant rates of default or costs of servicing loans in the subprime market, which...   Antonin Scalia  to my mind is conceding that he has no basis for picking 1.5 percent.   Antonin Scalia  The risk...  the risk of a prime borrower, of a fat cat borrower.   Antonin Scalia  I agree with you, and...  and the respondent is not defending that approach, but rather the approach that you use the rate of the...  of the original loan as the starting point, and then adjust it as necessary.   Antonin Scalia  Where do you get the principle that all secured creditors have to be treated equally?  Where does...  where does that appear?   Antonin Scalia  I'm sure it's true of all unsecured creditors.  I...  I don't know why...   Antonin Scalia  Start with a figure that you know for sure is wrong.  You know for sure that this person who got a 21 percent car loan because he was a bad credit risk was never going to get the prime rate of 8 percent.   Antonin Scalia  Why begin with...  with something...   Antonin Scalia  that you know is going to be abysmally low except for the fact that it will mean less money for the secured creditors and more money for the unsecured creditors, among whom is often numbered the United States?   Antonin Scalia  In this case, as I understand it, this lender always charged 21 percent.  It didn't differ from...  from lender...  borrower to borrower.  Every one of them was charged 21 percent.  That was the market.   ",02-1016
1,"Antonin Scalia  After confirmation.   Antonin Scalia  Okay.  That's the difference between your statistics...  Yes.  and hers.   Antonin Scalia  And your response to Justice Breyer's question, as I understand it, is that 21 percent may not be precisely what the rate is today for a loan made 3 years ago, but it's going to be a lot closer to it than 8 percent is.   Antonin Scalia  But yours is in theory perfect.   Antonin Scalia  No, no.   Antonin Scalia  No, no.  Yours is in theory perfect just as...  as the formula is in theory perfect.  In both of them you...  you begin with a starting point, and then you make whatever adjustments the reality of the risk requires.  That brings you theoretically in both cases the perfect answer.  The only question is, as a practical matter, which of the two is likely to come closer to the correct answer, starting with 8 percent that you know is way off the mark and then letting the bankruptcy judge figure out how much you add to that, or starting with 21 percent which, you know, is...  is...  it could be high, it could be low.  It's much fairer to both parties, but then let the bankruptcy judge adjust that a little bit.  That's the question: what...  what the practical consequence is not the...  the theoretical  They're both perfect theoretically.   Antonin Scalia  Mr. Brunstad...   Antonin Scalia  let me suggest a scary thought.     [Laughter]   Antonin Scalia  Is it...  is it possible that the statute does not provide an answer to this question?     [Laughter]   Antonin Scalia  That since both of these schemes, your proposal and the other side's proposal, are theoretically perfect, if they are done correctly, the bankruptcy court is free to use either one so long as he comes up with the right answer.   Antonin Scalia  I mean, the only thing the statute says is what...  what Justice Breyer keeps coming back to.  You have to provide him $4,000 in value.   Antonin Scalia  No more cumbersome.  Surely, you mean it's no more cumbersome than theirs.   ",02-1016
1,"Antonin Scalia  If I understand it, you'd say COGSA doesn't give you the substantive answer, but COGSA makes it a Federal question.   INTERRUPTING ",02-1028
0,Antonin Scalia  I'm not following.   Antonin Scalia  I'm not sure it's... it's just a matter of contract interpretation.  The... the contract is clear that there's a limitation of liability.  The question is whether that limitation of liability applies to someone who is not privy to the contract.  That's... that's not an issue of... of contract interpretation.   INTERRUPTING ,02-1028
1,"Antonin Scalia  What if that isn't enough?  What if they...  they're squandering their resources?  You have a dumb police chief who's...  who's using most of his resources in fruitless roadblocks.   Antonin Scalia  What do we do then?   Antonin Scalia  Well, what...  that's what I'm asking.  What makes this reasonable that wouldn't make other ones reasonable?  What would be unreasonable?  A...  a general roadblock asking about general crime...  you know, sir, have you seen any crime committed in the last 6 months, something like that?   Antonin Scalia  Would that be...   Antonin Scalia  No, it wouldn't...  it wouldn't come within that, but you think that that would...  would be invalid even though you would support these informational roadblocks in some circumstances?   Antonin Scalia  No kidding.   Antonin Scalia  You going to answer my question?  Would that one be invalid or not?   Antonin Scalia  I gave you the circumstances.  It's a general roadblock.  They stop everybody who comes along simply for the purpose of asking, sir or madam, have you seen a crime committed within the last 6 months?   Antonin Scalia  What other circumstances do you need?  Whether it's raining or not?   Antonin Scalia  Okay.   Antonin Scalia  Now, can you give me...   Antonin Scalia  a yes or no?  Is that good or bad?   Antonin Scalia  Can they make the pedestrian stop?  I mean, I'm walking along, the police says, excuse me, sir, can I ask...  I say, no, I'm too busy, and I keep walking.   Antonin Scalia  Can they arrest me for keeping on walking?   Antonin Scalia  So why can they do it with a car?  Is that what happened here?  Suppose this car were in first gear as it cruised, you know, rolled up to the roadblock and the same thing happened, the policeman said, I want to ask you, you know, sir, I'd like to ask you a question.  I'm sorry, I'm too busy, just keeps rolling on through.  Would...  would he have been arrested in this roadblock?   Antonin Scalia  He didn't stop at all.   Antonin Scalia  He kept rolling at a very slow speed and he just told the policeman, I'm sorry, I'm too busy.   Antonin Scalia  Do...  do you think he could do the same thing with a...  with a pedestrian?   Antonin Scalia  I...  I suppose part of the reasonableness inquiry has to be what alternatives were available to achieve the same objective.  And why couldn't the police just have had a big sign on the side of the road, one of those, you know, illuminated signs that they have now, which said, you know, please help us, looking for hit-and-run...   Antonin Scalia  last week, something like that.  And then those people who are willing to cooperate could pull over and cooperate and those...  those who want to have nothing to do with it can keep on moving.   Antonin Scalia  I'm not applying the least...  least restrictive means test, but surely one of the...  one of the factors in determining whether this was reasonable is whether you could have done...  achieved the same objective in...  in some other manner.   Antonin Scalia  They wouldn't have done it, but I mean...   Antonin Scalia  a roadblock is much more fun to cover.     [Laughter]   Antonin Scalia  But can you stop the person?  I mean, put it in a pedestrian context, do you think a police officer can insist that the person stop, stand there, and listen to his pitch?   Antonin Scalia  Have they been successful?  Is your knowledge of these things profound enough that you can say how successful they've been?   Antonin Scalia  Do you know of any that have been successful?   Antonin Scalia  The Fourth Amendment is an anxiety thing?  My goodness.     [Laughter]   Antonin Scalia  Arrested or elected?   Antonin Scalia  What...  did you say arrested or elected?  That a lot of police chiefs are...   Antonin Scalia  Okay.   Antonin Scalia  I thought you said arrested.   ",02-1060
0,"Antonin Scalia  Or hold him up for no reason at all, just for a lark.  Hey, let's hold up a bunch of people.     [Laughter]   Antonin Scalia  You...  you say that passes the Fourth Amendment test but if...  but...  but this very reasonable investigation does not.  That can't be right.   Antonin Scalia  Maybe...  maybe your response to Justice Breyer's question...  I'm not sure that reasonableness for Fourth Amendment purposes is the same as reasonableness in general.  Do you think it would be...  in general, if you're not talking about the Fourth Amendment...  an unreasonable thing for a policeman to knock on your door and say, excuse me, sir, we're investigating a crime, we really need your help, do you mind if I...  I come in and ask you a couple of questions just to help us solve this crime?  Do you think that's reasonable in...  in...  in a sense?  I guess it is.   Antonin Scalia  No, the person says, unreasonably says no, and the policeman comes in anyway.   Antonin Scalia  Even though it isn't really the policeman that's being unreasonable in the general sense.  It seems to me it's quite unreasonable for the homeowner to refuse to cooperate at all with the police in the...  in the solving of a...  let's assume it's a major crime.  That seems to me unreasonable, but even so, the policeman is not allowed to come into the home.   Antonin Scalia  And so also here.  It might be very unreasonable for the person not to want to cooperate, and it might be quite reasonable for the policeman to seek the cooperation, but that doesn't necessarily answer the Fourth Amendment question.   Antonin Scalia  So you think this would be different if this was a serial hit-and-run killer, right?  He does one a week.  Then...  then you think it'd be a different situation and maybe they could conduct the...  the roadblock.   Antonin Scalia  Yeah, but it requires a roadblock.   Antonin Scalia  Nothing duller than watching a wall of...  of wanted posters, you know, and now, for our listeners, we're going to pan the wanted posters at the post office.  I mean...   Antonin Scalia  that is not going to sell.  Who's going to sponsor that?   Antonin Scalia  Suppose they had done the same thing they did here, the same thing, except that, in addition to giving them a flyer and asking them about what happened...  were...  you know, were you here a week before, they...  it was also a check of driver registration?   Antonin Scalia  Well, they were actually checking licenses.  I mean, they're...  they're really doing it.   Antonin Scalia  And they...  they pick up some people who don't...  don't have licenses, but while they're at it they kill two birds with one stone.  And you say it would make it bad because its primary purpose was the other?   Antonin Scalia  That...  that incremental point of time...  you're really playing with a...  an inconsequential...  inconsequential impingement upon the person's time.   Antonin Scalia  You know anybody's that's challenged these things who...  for any reason other than the exclusionary rule?  This case wouldn't be here except for the fact that your client during the stop was found to be driving under the influence.  Had that not happened, don't you think there's zero chance that anyone would have cared enough, would have felt beset upon enough by the police to bring some action to stop this Gestapo-like activity?   Antonin Scalia  I mean, it's...  it's really just the exclusionary rule driving...  driving this case.   ",02-1060
1,NO QUESTIONS,02-1192
0,"Antonin Scalia  Did... did you object to the question presented in the petition on that ground, that the word voluntarily in it was... was inaccurate?   Antonin Scalia  Well, I mean, we take the questions that are presented when the parties don't... don't object to it.  And... and the question presented is whether a party who's not been the subject of an underlying civil action, blah, blah, may bring an action to recover costs spent voluntarily to clean up properties.  That's what I thought this case involved, and... and it's the way I'm going to decide it.   INTERRUPTING Antonin Scalia  Why... why isn't a perfectly adequate explanation of the last sentence that it was referring to the State causes of action?  And indeed, you... you assert a State cause of action here.   Antonin Scalia  But this would be a very logical place to... to repeat it, even if it is somewhere else.  You're... you're creating a Federal cause of action under certain narrow conditions, and the last sentence says, nothing shall diminish the right of any person to... in the absence of a civil action.  It doesn't say we're creating a right.  It... shall diminish the right.  So if there is any other right, we do... this does not preempt any... any State causes of action.  I think it's admirably drafted.  I don't think you have to be ashamed of how to explain it.  It... it explains itself.   Antonin Scalia  No, but you're... you're effectively reading out of it the... the limitation, during or following any civil action under section 9606--   INTERRUPTING Antonin Scalia  --because you're saying any person may seek contribution during or after and they may also seek contribution any other time.  I mean, why... why have the limitation?  You're just reading it out.  It makes no sense.   Antonin Scalia  Okay.   Antonin Scalia  What... what function does during or following any civil action under section 9606 of this statute serve--   INTERRUPTING Antonin Scalia  --given... given that you believe the last sentence means there's a cause of action even when it's not during or following any civil action?   Antonin Scalia  During.  What about or following?  Why was that--   INTERRUPTING Antonin Scalia  --But why?   INTERRUPTING Antonin Scalia  Why... why do you need it?  Why do you the or following, at least, if you have that last sentence--   INTERRUPTING Antonin Scalia  --that says there's a right of contribution?  Other... other--   ",02-1192
1,"Antonin Scalia  Is the Postal Service subject to the Administrative Procedure Act?   Antonin Scalia  So you say it carried forward the...  the essential governmental character.  What...  what does that consist of?  Doesn't it consist of the nature of the entity, not just...  just the...  the tag?  It can't just put a tag on it and...  and say it has an essentially governmental character.  I thought that the...  that the purpose of the reorganization was to make the Postal Service function like a regular business.   Antonin Scalia  Well, I'll...  I'll qualify it.  A regular business, a regular public utility...   Antonin Scalia  which has...  which has certain obligations, yes.  They have to do universal...  universal mail service, just as a telephone company has to give universal telephone service.  But on the other hand, the rest of their operations were supposed to be business-like.   Antonin Scalia  Insulated from the Government.   Antonin Scalia  You're...  you're saying on the one hand it's part of the Government, but on the other hand, what Congress wanted to do was to insulate it from the Government.   Antonin Scalia  Are they...  are they removable by the President?   Antonin Scalia  For cause.   Antonin Scalia  Just like the heads of independent agencies.   Antonin Scalia  Congress never said that they were supposed to operate like a business, which was the purpose of the Reorganization Act.   Antonin Scalia  It...  it did...  it did retain that monopoly and...  and the Government's position here is that the Postal Service has the power to extend that monopoly into fields that the Government did not specifically confer upon it, right?  Because the Government's position, as I understand it, is not only that the Postal Service can't be sued under the antitrust laws, but that the...  that the Postal Service is not subject to the antitrust laws.   Antonin Scalia  So it can...  it can go ahead and extend the monopoly conferred by statute beyond the...  the narrow context granted by Congress.   Antonin Scalia  What happens...  I'm sorry, go on.   Antonin Scalia  If I get into a car accident with a...  with a postal delivery truck, do I sue the United States under the Federal tort claims?   Antonin Scalia  Don't...  before we get off of eminent domain, don't...  don't a lot of state public utility entities have the power of eminent domain?   Antonin Scalia  So that really doesn't determine what...   Antonin Scalia  And they're subject to the Sherman Act, of course.   Antonin Scalia  Of course, this only becomes a real problem when the Postal Service turns a profit on its monopoly business, which it has not yet succeeded in doing, has it?   Antonin Scalia  That's...   Antonin Scalia  That's the curious thing about this suit.  It actually represents a portion of the monopoly business, of using the monopoly to...  to monopolize procurement.   Antonin Scalia  Do they really sell biking gear?  They don't sell biking gear.  Do they sell biking gear?   ",02-1290
0,"Antonin Scalia  How is he selected?   Antonin Scalia  By the Board of Governors?   Antonin Scalia  But you...  you...  you concede that before the Postal Reorganization Act, the answer to the question would be no?   Antonin Scalia  So you...  you have to...  I mean, you're...  you're not writing on a blank slate.  You...  you have to find enough in the Postal Reorganization Act to change that answer from no to yes, and that's really the burden.   Antonin Scalia  Given that the Postal Service was not subject to the antitrust laws before, something so fundamental happened in 1970 that it is now a person under the antitrust law.  That's...  that's your...   Antonin Scalia  your burden.   Antonin Scalia  But its employees, are its employees subject to the Taft-Hartley law, or...  or...  or are they like...  like Federal workers?   Antonin Scalia  So...  so...  would...  would their employees be members of the American Federation of Governmental Employees or other unions?   Antonin Scalia  Postal workers union?   Antonin Scalia  But of course, the Reorganization Act itself specified that they'd be subject to Taft-Hartley, did it not?   Antonin Scalia  So why didn't it specify that they would be subject to the Sherman Act?   Antonin Scalia  You see, I...  I don't think that helps you, I think it hurts you.   Antonin Scalia  It...  it is a significant feature that...  that the...  their employees are subject to Taft-Hartley, but that...  that is more than answered by the fact that it says so in the Reorganization Act.  Why doesn't it say so about the...  about the antitrust laws?   Antonin Scalia  Well, but there...  there wouldn't be a remedying as the Postal Service, but I assume you could sue American Greetings and Hallmark and whoever else had conspired with the Postal Service.   Antonin Scalia  If it was unilateral action, they'd be...   ",02-1290
