1,NO QUESTIONS,02-1016
0,"David H. Souter  What do you say to Mr. Salmons' argument that in fact the...  the plan is not supposed to be confirmed unless the judge makes a...  a determination that it can be followed, and it therefore isn't legitimate to take this kind of risk into consideration at all?   David H. Souter  Is there any...   David H. Souter  Is there any...   David H. Souter  Is there any indication that if we take that, that in fact it will increase the likelihood of default under the plan simply because the higher contract rate will tend to put more pressure on the...  the debtor than the debtor in fact ultimately can...  can satisfy?   David H. Souter  Yes.  What is their experience?   ",02-1016
1,"David H. Souter  Well, is--   David H. Souter  --Is... is your argument that if you don't interpret the second one under Federal law, you're, in effect, going to undercut the significance or the... the efficacy of Federal law in interpreting the... the first, the... the Hamburg Sud?   David H. Souter  Yes.  But I mean--   INTERRUPTING David H. Souter  --is going to be different in another case.   David H. Souter  Now, what is the significance, if any, of COGSA in... in your analysis in coming to that conclusion?  You're talking about pre-COGSA cases.   David H. Souter  If you didn't have the prior cases, what would the significance of COGSA be?   David H. Souter  What is... what is the efficacy of the COGSA limit if... if in fact the... the tariff is... the bill of lading is not enforced as a matter of Federal law?   INTERRUPTING David H. Souter  That's... that's what I was trying to get at.  I mean--   David H. Souter  --Yes, okay.   ",02-1028
0,"David H. Souter  Where does that... I mean, and... and assuming from that, that it follows that this isn't Federal jurisdiction and so on... Federal rule, where does that leave the... sort of the... the carrier in the middle?  Is the carrier in the middle in a position to know what the result will be on your analysis and therefore in a position to know whether he can rely upon a Federal rule or is taking his chances with respect to any State rule that may apply because of a railroad at the end of the... the trip?   David H. Souter  Well, it's... it's a matter of contract interpretation, but the... the significance for... for an understanding of the contract liability, which the shipper in the middle is undertaking, may be enormous.  And my question I guess is, if we follow your rule and... and we say that because the... this isn't admiralty, therefore there's no... there's no Federal rule of decision, where does that leave the... the carrier in the middle?   INTERRUPTING David H. Souter  But... but that's... that's not--   David H. Souter  --No.   David H. Souter  Did this Court know that?   INTERRUPTING David H. Souter  Yes, but that... I mean, that's ambiguous on... on the point, isn't it?   David H. Souter  I mean, it... it may be that it's clear because it was clear as... as... on the basis of some legal principle.  It may be clear because... I'm not quite sure what this means, but because they said as a matter of fact, there's an agency relationship.  But this... this Court doesn't know that.  The... the Minnesota opinion is ambiguous on that.   David H. Souter  Oh, it is.  Okay.   David H. Souter  I... I thought you... clarify this for me.  I thought you were saying a moment ago they would have to be a third party beneficiary and they would have, in fact, to have relied upon the... the limitation upstream.  Is that correct?   INTERRUPTING David H. Souter  But that's... that's... basically to your central argument, that's neither here nor there.   ",02-1028
0,"David H. Souter  Mr. Feinerman, may I go back to your own hypothetical of a moment ago in which this crime has been committed, people don't want to be seen talking to the police, so the police might set up a roadblock under those circumstances.  What about the same situation in which the police say...  and I suppose it would be reasonable in your hypo that they need to talk to a lot more people than simply the ones who were driving in cars...  on your reasoning, could the police, in effect, cordon off sidewalks so that any pedestrian coming down the sidewalk would have to pass through sort of a chute at the end and could not get through with stopping to talk to the police officer and answer questions in order to get through?   David H. Souter  Well, they...  they...  they do in the sense that we...  we recognize certain rights to stop the motorist because of the regulated nature and the highly dangerous nature of the...  of the driving enterprise.  But here we're talking about stops which bear absolutely no relation to the regulation of motor vehicles.  The only reason for the stop in the case that you're defending, and the only reason for the stop in my hypo is that there may be an opportunity to gather evidence from a citizen who won't come forward but would answer a question.  So it seems to me that the difference between cars and pedestrians has nothing to do with the...  the...  the answer to my question.  Am I wrong there?   David H. Souter  No, but the...  no, but the justification for interfering with their freedom of movement is not the justification that's involved in this stop.  You're not looking for impaired motorists.  You're not checking licenses and registration.  You're simply stopping motorists because they might have seen a crime, and in the extension of your hypo I'm talking the pedestrian who might have seen a crime or have some evidence of it.  They're in exactly the same situation.  If you can stop the cars, why can't you stop the pedestrians?   David H. Souter  You...  you mentioned that this is a good way to get at the people you want to get to.  Is there any indication that there...  anything of value was obtained in the investigation of this crime in this particular roadblock, or do you have any information across the...  from...  from broader statistics across the nation about the effectiveness of doing this?   David H. Souter  If...  if the police had...  if the police had asked the local news to...  to broadcast a 2-minute clip of a police officer saying, we're having trouble finding the perpetrator of this crime, please come forward, wouldn't that have gotten the same result?   David H. Souter  Why...  why does the distinction...  you've mentioned it and...  and Mr. Feinerman mentioned it...  why does the distinction between cars and pedestrians apply in a case in which the...  the justification for making that distinction, regulation, a risk of impaired driving, does not apply?   David H. Souter  No, but my expectation of freedom of movement in the car is that, yeah, the police can stop to...  for a sobriety checkpoint and I'll assume they can...  they can stop to...  to check my...  my license and the registration of the car, but I also assume that they can't, you know, barring today, the result of today's case, I...  I'm assuming that they...  they can't stop me for...  for other reasons, barring some really exigent circumstance.  And if that expectation is reasonable, and I think it has been at least up until today, then I think my expectation is...  is the same as the pedestrian's expectation, barring the...  the regulatory authority of...  of exercising the regulatory authority, which is not in...  in issue here.   David H. Souter  You're...  you're saying that because they might have observed or...  or observed evidence in the exercise of their privilege that that would be a regulatory basis for stopping them in the cars, whereas there wouldn't be any such basis for the pedestrian?   David H. Souter  And...  and we understand that when...  when there's something pretty contemporaneous between the stopping and the...  and the accident.  That's what I had in mind with exigency.  But do we...  is...  is it such a common practice that a week later or two weeks later...   David H. Souter  I got mixed up...   ",02-1060
1,"David H. Souter  But if...  if they hired someone like Justice Scalia to go on the screen and describe it...     [Laughter]   David H. Souter  big audience.   David H. Souter  Oh, okay.  Mr. Ramsell, there's something I'd like you to comment on.  The...  the Illinois Supreme Court was...  was concerned about the...  the effect of...  of this practice, in effect, in opening the door to stops all the time.  They said, you know, there are loads of crimes and if it's justified here it will be justified in other cases and so on, and there have been some questions from the bench to that effect.  One answer to that might be that under the law as it stands now the police can conduct sobriety checkpoints and we will assume that they can make license and registration checks and things like that.  So the...  the police already have an opportunity, to put it bluntly, to abuse their right to stop if they want to do it.  Is there any indication that there is this kind of abuse going on, and hence, is there any reason to believe that the abuse would be greater if this practice passed muster than it is under the existing law?   David H. Souter  But what...  what do we know?  Empirically, what we do know?  What is...  has there...  has there been an indication of abuse?  Is there a reason to believe that this invitation, this tool, would be abused more than the tools that they now have?   David H. Souter  But why...  why?   David H. Souter  Well, it makes for great publicity to...  to have sobriety checkpoints.  That's one reason why they have them.   ",02-1060
1,"David H. Souter  One of your... I think it was yours, rather an amicus argument for... for reading 113 is you say it would have a bearing on reading 107, and that was that Congress didn't want to permit suits prior to some definitive resolution of a claim, whether it be by settlement or whatnot.  And the reason was that if... if the one joint tortfeasor could sue prior to that time, there would be liability against another who would still be open to action by EPA--   David H. Souter  --or even yet a third joint tortfeasor.  Their response to that was EPA resolves lots of actions without complete cleanup, so that the possibility, even in contribution cases that you would allow, would be later EPA action against another polluter.  What... what is your response to that, if I've got it right?   INTERRUPTING David H. Souter  So you're really disputing the... the fact of... of their response?  In other words, they say, look, EPA resolve... settles these things without complete cleanup, and you're saying that really isn't the way it works?   David H. Souter  So that if... so that if it is done, there won't be further EPA action against yet another polluter for that site.   INTERRUPTING David H. Souter  Well, if that's the... if that's the case then, whether... whether... even... even in a... in a case of contribution brought under 113, the person against whom contribution is obtained might still be liable to EPA if EPA later proceeds against that person.   INTERRUPTING David H. Souter  I see, yes.   ",02-1192
0,"David H. Souter  Well, there's... there's one argument, isn't there?  And that is, in the first sentence, it speaks of... of a civil action under 107.  Then in the savings clause, it says, nothing, et cetera, shall diminish the right to bring an action for contribution in the absence of a civil action.  It seems to be talking, you know, under... of 107... it seems to be talking about something other than 107.   INTERRUPTING David H. Souter  That may be what it means, and... and maybe that's the way it ought to be construed.  But it's not clear, is it?   INTERRUPTING David H. Souter  What... what is your answer to their response to the loophole argument that, in point of fact, you can... if you want to undertake this cleanup, all you've got to do basically is go to EPA and say, look, we want to get into circumstances in which we can have a settlement with you so that during or after it, we can... we can go for contribution?  What's your answer to that, that you have an avenue to get where you want to go?   David H. Souter  Well, that may... how about the answer to the practical question that Justice Ginsburg raised with your friend on the other side?  Is it easy to do what they suggest, or is it difficult to do what they suggest?   INTERRUPTING ",02-1192
1,NO QUESTIONS,02-1238
0,"David H. Souter  Mr. Strauss, may I go back and ask a variant on Justice Breyer's question, assuming that there is some implicit limitation on...  on the scope of any entity?  And it relates to what, if I have my facts straight, is the...  is the drafting history in this case, and I'd like you to tell me whether I have got the facts straight because I didn't look them up myself.  I just got this out of the briefs.  And if so, what you think the significance is.  As I understand it, at least the Senate version of the original bill had a provision in it that affirmative...  expressly provided that any existing utility, whatever its object of service, could go into the telecommunications business.  And this, as...  as you point at one point in your brief, this would be...  this would be good for your argument because a lot of those utilities are municipal utilities.  As I understand it, in the...  in the conference committee, that language was, in fact, removed entirely, and subsequent to its removal in the conference committee report, there were references to any private entity being able to go into the telecommunications business but not the old, pre-conference committee references to...  to any...  any public as well as private entity.  That suggests to me, the...  the combination of the drafting change and the conference committee report, that the implicit scope they were getting at was an implicit scope that says any entity is a reference to private, not public.  What...  are my facts straight, and if so, what...  what's your response to that argument?   David H. Souter  So you say the...  the excision was a redundancy excision.   David H. Souter  Okay.  The answer to that I think is in...  in part a response to something in your brief.  You mentioned that the original House and the original Senate reports were speaking, among others, expressly of...  of public entities.  As I understand it...  and again, I didn't look myself.  I just got this from...  from one of the briefs.  As I understand it, the conference committee report...  after this excision, which is arguably just a redundancy excision, the conference committee report started using the adjective private entities rather than public entities as being subject to this kind of universal preemption.  Doesn't that nix the theory that it was merely a redundancy excision?   David H. Souter  Okay.   David H. Souter  What we're left with, it seems to me, is...  is at least...  maybe let's call it tension between the conference committee report and the preamble language which was then inserted.  And isn't that a perfect situation to provide...  to...  to apply a Gregory kind of rule, saying when we're not sure what they meant, we want them to spell it out more clearly before we conclude that they, in effect, are...  are limiting the...  the power of a...  of a State to determine what its municipalities can do?  Isn't this a good situation for a Gregory rule?   David H. Souter  I...  I think so too.   David H. Souter  And...  and maybe what I'm saying is we...  we ought to...  those of us who would look into the...  the legislative history, as I would, maybe ought to take advantage of a slightly broader Gregory rule.   David H. Souter  Isn't the difference, though...  and I...  I see your argument.  But isn't the difference that in that case we didn't have anything in the history either of the drafting or of the legislative consideration of the statute that suggested that there really was an...  an argument each way as...  as to whether they...  they were...  they were intending to...  to cover the...  the prisoners.  They simply didn't deal with...  with that situation at all, and they used absolute kind of...  of language.  Here, there is an argument to be made because the drafting changed.  The drafting certainly could have significance for...  for public utilities.  There is a tension between the...  the conference committee report and the preamble.  In other words, we've...  we've got a...  a question sort of affirmatively raised by the history of the drafting and enactment of the statute, whereas there was simply silence in the Yeskey situation.   David H. Souter  Well, I...  I grant you that, but when...  when the...  when the issue relates to the kind of State sovereignty issue that...  that Gregory addresses, that's a good reason for having a Gregory rule.   ",02-1238
