1,"Neil Gorsuch  Mr. Yang, you -- you indicate that (l)(9) is the exclusive remedy for a (2)(A) violation.   Anthony A. Yang  Close.   Neil Gorsuch  All right.  Well, let me know where I get it wrong, but -- or at least I understand that's the primary position of -- of your side.  But Amgen sought relief under State law and -- and I -- I didn't take -- take it that Petitioner argued preemption in any way, shape, or form.  So where does that leave us? (l)(9) might otherwise be the exclusive -- or almost exclusive mechanism, but what happens when we have a claim under State law that no one's argued is preempted?   Anthony A. Yang  Well, I believe Sandoz argued, at least in the court of appeals, that it was preempted. But putting that to aside, the Federal Circuit in this case deemed the State law claim for the injunction to be moot.  This is at page 24a and 25a of the Joint Appendix.  It did so because it found a Federal injunction and imposed a Federal injunction to enforce the statute.  That's precisely what the Federal Circuit made even more clear in the subsequent decision in Apotex, and so where we are now is only on the question of the Federal remedy, if there is one, for failing to give notice or failing to comply with the information exchange. I will say that it --   Neil Gorsuch  That's certainly not Amgen's position, so --   Anthony A. Yang  I will say that there are -- I think there are strong arguments that this would be preempted.  This is a highly detailed scheme.  And if States were to start to interject different means of enforcing it on a State-by-State basis, that might wreak some havoc, but we've not taken a position on that.   Neil Gorsuch  Exactly.   Anthony A. Yang  Here we --   Neil Gorsuch  I agree with you, but the absence of any argument on preemption is what makes it so curious.   Anthony A. Yang  Well, the judgment below did not rest on the State law claim.  Again, if you look at page 24 and 25 is where it says it's moot, it rests on a Federal law.   ",15-1039
0,"Neil Gorsuch  Mr. Waxman, let's say -- let's say I spot you that, okay, that (2)(A) ""shall"" means shall.  All right?   Neil Gorsuch  But the question still remains under (l)(9) -- (9) -- (9)(C), rather, (l)(9)(C), what the remedy is.  And we've heard from the other side that the exclusive remedy is a declaratory-judgment action.  And how can we possibly decide what (2)(A) means without taking a peek at (9)(C) as to what remedies are permitted?   Neil Gorsuch  I'm spotting you that --   Neil Gorsuch  -- for purposes of this question.   INTERRUPTING Neil Gorsuch  You can't -- it's hard to divorce a right from its remedy, isn't it, and to understand the contours of the right.  And if (2)(A) gives you a certain right to information, we usually understand the right in the context of the remedy provided.   INTERRUPTING Neil Gorsuch  And here the remedy is (9)(C).   INTERRUPTING Neil Gorsuch  However -- however best you want to do it.   Neil Gorsuch  I -- I got that.   Neil Gorsuch  I'm sorry.  My question is how can we understand what a violation is, of Federal law, without looking at both the rights section and the remedy section?   INTERRUPTING Neil Gorsuch  Because the -- a violation is circumscribed in a certain way here by the remedies provided by Federal law.   Neil Gorsuch  Well, what's -- what's wrong with that? Why can't you argue that the notice is defective and seek a declaratory judgment on that basis, that the notice is insufficient, doesn't provide you with adequate notice as required by statute?   INTERRUPTING Neil Gorsuch  Right.   INTERRUPTING Neil Gorsuch  I understand that.  If you --   Neil Gorsuch  If you say the notice itself is defective, apart from when it's given, because it doesn't provide enough information, isn't that a possible remedy right there?   ",15-1039
1,NO QUESTIONS,15-1485
0,"Neil Gorsuch  Mr. Garrett, I just wanted to get back to Justice Alito's question because, as I understood it, you -- you agreed that it would be acceptable for an officer to make this arrest in a more affluent part of town. And maybe I'm mistaken in that, but because perhaps the furniture situation one should understand would be less in this area of town than that area of town.  But if it's a new tenant, we all live with folding chairs for a period of time when we move. So does that hold? Is that a fair reason? Should officers really have to distinguish between parts of town in deciding when to make an arrest?   Neil Gorsuch  Right.   INTERRUPTING Neil Gorsuch  The commonsense perspective is it's a new tenant.   Neil Gorsuch  And so the new tenant, we all live -- if I work with boxes, and whatever part of town we're from.  So does an officer -- should an officer, I mean, redline where he enforces the law?   INTERRUPTING Neil Gorsuch  Take away the for sale sign.  We don't have that here.  That's not a fact we have.  But otherwise pretty much the same, right? But you say it's okay to arrest at the mansion and not here?   Neil Gorsuch  You keep adding facts.  I'm saying keep the facts exactly the same.  Just move the house.   INTERRUPTING Neil Gorsuch  Shouldn't I worry that you think it's a closer case, that officers implicitly may distinguish, and you suggest should, based on where in town they're enforcing the law?   ",15-1485
0,"Neil Gorsuch  Well, Mr. -- Mr. Clement, though, the difference I wonder -- and I don't know, but I wonder -- might be this: That, as Justice Ginsburg indicated under 271(f), fine, you get royalties because it's as if the -- the bits were manufactured here.  But you don't have a -- a monopoly, a lawful monopoly, to use this technology abroad.  That doesn't belong to you.  That's outside the patent laws. And so why would you get lost profits by -- because of a third party's use entirely abroad? That -- the lost profits aspect of the damages is the bit that concerns me.  And the difference with the common law rule, for example, might be because of the patent law's territorial limits.   INTERRUPTING Neil Gorsuch  Well, let's -- let's just segregate out again the -- the royalties, put those aside, okay?   INTERRUPTING Neil Gorsuch  And just -- just focus on the profits for me, okay?   Neil Gorsuch  And they arise from a third party's use over which you have no lawful monopoly.  Your patent doesn't run to the high seas, and so your uses aren't protected there.  So help me out with that portion of the damages alone.   INTERRUPTING Neil Gorsuch  This Court -- this --   INTERRUPTING Neil Gorsuch  All right.  Well, here's the -- here's the degree of my skepticism.  I -- I have yet to see a case from this Court at least where -- even under 271(a) where the manufacture entirely takes place here, third-party uses abroad give rise to lost profit damages.   INTERRUPTING Neil Gorsuch  In passing.  The Court doesn't even address the issue.  We -- we use the word ""Canadian."" That's all we've got. So what --   Neil Gorsuch  Right.   Neil Gorsuch  I -- I -- I hear that, but -- but the -- to the extent we're talking about the injury here and the poor French Ambassador, I -- I get that we're -- we're supposed to treat the manufacturer as if it took place here, but how do we pretend that the use on the high seas took place in Lake Michigan? That's where I'm struggling and I -- I could still use your help.   INTERRUPTING Neil Gorsuch  I -- the high seas and Lake Michigan are -- are just not the same to me.   INTERRUPTING Neil Gorsuch  Help -- help -- help me out with just the language of the statute. You say it's obvious from the language of the statute. What -- what -- what would you point me to? What's your best textual argument to show me that the -- the use on the high seas is to be treated as if it took place in Lake Michigan?   INTERRUPTING Neil Gorsuch  So -- so just to follow up on this, would you -- would you agree that the -- that the other alternative creates a potential incongruity? Because, if we were to rely on 271(f), we might be in a situation where we're permitting greater damages for someone who only partially manufactured, only partially completed the -- the patent infringement in this country, as compared to someone under (a), who did the entire act here.   ",16-1011
1,NO QUESTIONS,16-1011
1,NO QUESTIONS,16-1027
0,"Neil Gorsuch  So under that rule, though, police could, as I understand your position, search for cars in garages, closed garages, carports, anywhere on a property, no matter how closely attached, or even if firmly attached to the house?   INTERRUPTING Neil Gorsuch  Not in the house but on the curtilage.   Neil Gorsuch  Okay.  But if we say that's curtilage, which a lot of cases in the past, at least, have suggested, and we deem a barn, a garage, curtilage, then the police can without a warrant search for a car there under your rule, right?   Neil Gorsuch  Not many people live in their garage.  Some people do, some people do, and in barns, but usually they're reserved for cars and for animals. And you're suggesting that in those places the police can search without a warrant.   INTERRUPTING Neil Gorsuch  Correct?   Neil Gorsuch  Well, and --   Neil Gorsuch  -- and then we should just go ahead and do the same thing for drugs and papers too, because -- and Entek, we can overrule Entek while we're at it, going all the way back to the founding because, you know, we can see somebody, they have a fireplace, they have a chimney, they could destroy the papers that we see through the window or the drugs.  We know that they have indoor plumbing. And so they can be readily destroyed too.  What's the difference between the destruction of drugs and papers in a home and a car in -- in the garage?   INTERRUPTING Neil Gorsuch  Well, counsel, when I -- when I look at the automobile exception's history and go back to Carroll, it was actually an originalist opinion that looked at cars and -- and analogized them to ships and vessels, going all the way back to 1790.  And so that's different than homes or curtilage.  And -- and -- and cars are like vessels on the open sea or in port. It never suggested that you can go look for one in a home.  That was never the basis.  It was: You can search something that is on the open seas or in a -- in a harbor or on the streets, not that you can go into a home to find one.  That seems to me categorically -- a category mistake that you're making in your argument.  Can you help me with that?   INTERRUPTING Neil Gorsuch  Well, I just cited the Supreme Court's jurisprudence in Carroll.   Neil Gorsuch  So I'm not sure it's fair to point it, the arrow, in this direction, counsel.   INTERRUPTING ",16-1027
1,"Neil Gorsuch  Mr. --   Neil Gorsuch  Well, Mr. Hellman, what role should lenity play here, if any?   INTERRUPTING Neil Gorsuch  Saving that for the next case.   Neil Gorsuch  So -- so, for example, if we are left with some ambiguity as to your Aguilar analogy, that's when you would suggest perhaps lenity might be a tiebreaker?   Neil Gorsuch  Well, does it get us part of the way there, though? Because the officer clause, as Justice Sotomayor suggests, you have to actually hinder something the officer is doing.  And could that same spirit or thought be thought to apply in the administration as well, that the IRS has to be doing something? Your preceding thought is a -- is a doing, it is a thing; it is not just merely -- I think the IRS speaks of the pervasive, continuous, brooding omnipresence of --   Neil Gorsuch  -- of tax liabilities, that there's an implication from the officers clause that there's something more going on.  Am I -- maybe that's not entirely helpful.   INTERRUPTING Neil Gorsuch  No, no, no.  No, no, limiting it to some affirmative act going on by the agency, I think, is what Justice Sotomayor was suggesting, that the agency has to be doing something other than merely passively receiving taxes.   Neil Gorsuch  Correct.   INTERRUPTING Neil Gorsuch  It's -- it's a friendly amendment. (Laughter.)   INTERRUPTING Neil Gorsuch  I'm not even arguing with you.   Neil Gorsuch  I'm just suggesting that the officers clause might be a source of some aid to you.   Neil Gorsuch  That's all I'm doing.   Neil Gorsuch  And you think it's preferable given its heritage and for other reasons?   ",16-1144
0,"Neil Gorsuch  Well, Justice -- Justice Breyer's snow shoveler, all right, I -- I think you -- he's a felon under your interpretation because the -- the person who's paying him knows that, above $600 or whatever it is, I have to file a 1099.  I'm not doing it -- I'm doing it for an unlawful advantage for the snow shoveler.  I know it.  I'm a -- I'm a federal felon.   INTERRUPTING Neil Gorsuch  For my -- for my friend's son's snow shoveling business.   INTERRUPTING Neil Gorsuch  Right?   INTERRUPTING Neil Gorsuch  I mean, the answer is yes, I think, isn't it? (Laughter.)   Neil Gorsuch  I'm waiting for a yes or a no.  You can just -- it may come within the scope.  So that's a yes?   INTERRUPTING Neil Gorsuch  Okay.  All right.   Neil Gorsuch  How -- how is somebody supposed to know when they're going to be in trouble here? Because it seems like paying cash --   Neil Gorsuch  -- can sometimes be a problem.  That was part of the indictment and -- and the jury instructions here.  Or keeping records, failure to keep records --   Neil Gorsuch  -- that you didn't -- that aren't lawfully obliged to be kept.   Neil Gorsuch  The government made some similar arguments in the honest services case, that everything can be cured by a mens rea requirement.  We don't need to worry about actus reus.  We'll tell you about the actus reus when we get there.  We'll create a common law of honest services. And here it seems to me that's what the government's parallel -- parallel argument, that we're not going to tell you what qualifies.  We'll find out later. And sometimes it's going to be simply paying cash.  Sometimes it's not going to be keeping records.  And -- and I just wonder are we going to wind up in the same place, that you drive this thing to such enormous breadth in its interpretation that you're -- you're inviting a vagueness challenge at the back end?   Neil Gorsuch  And paying cash is enough, though, under the government --   Neil Gorsuch  Well, it is in this case.   INTERRUPTING Neil Gorsuch  That's -- that's in the jury instructions.   Neil Gorsuch  Right.   INTERRUPTING Neil Gorsuch  Really?   Neil Gorsuch  It is a -- it is a remarkable --   Neil Gorsuch  On -- on that -- on that score, the verbs ""obstruct"" and ""impede,"" along with ""corruptly,"" the adverb, you normally expect there to be an object to them. I have to -- have to -- because it is specific intent, as Justice Breyer pointed out, and you've conceded. I have to know about some thing and I have to intend to obstruct or impede that thing.  And the government's interpretation of that thing, as I understand it, in its words is the continuous, ubiquitous, and universal collection of taxes. Is -- is that an object that's reasonably inferred? Can one -- can one intend -- know of and intend to impede or obstruct, corruptly or otherwise, something that's continuous, ubiquitous, and universal?   INTERRUPTING Neil Gorsuch  I think that's out of --   INTERRUPTING Neil Gorsuch  -- your brief in opposition, right?   Neil Gorsuch  But -- but don't those -- don't those verbs imply that there's something more direct as the object of my actions than -- than something that's continuous, ubiquitous, and universal?   INTERRUPTING Neil Gorsuch  Okay.  That's helpful.  Thank you.   Neil Gorsuch  But Congress legislates against the backdrop of what's out there.  And what -- what was out there was our interpretation of those words requiring a nexus to an active proceeding, something more than -- something more definite than something that's continuous, ubiquitous and universal.   INTERRUPTING Neil Gorsuch  And -- and the Congress that passed this statute had that interpretation in its back pocket at the time; right?   INTERRUPTING ",16-1144
