1,"Samuel A. Alito, Jr.  Does it make sense to say that any wetlands that it abuts a traditionally navigable water is covered, but a tributary that leads right into a traditionally navigable water is not necessarily covered?   ",04-1034
0,NO QUESTIONS,04-1034
1,"Samuel A. Alito, Jr.  Is there a difference in the moral burden on the jurors, or the psychological burden on the jurors, in the situation where they have to find that the aggravators outweigh the mitigators, and, therefore, make an affirmative finding that leads to the sentence of death, as opposed to the situation where they can say,  ""We can't decide, under the applicable burden of proof, which side is weightier. ""  and, therefore, they allow a default rule to dictate what the sentence is going to be?   INTERRUPTING Samuel A. Alito, Jr.  No, but if they find... if they agree, beyond a reasonable doubt, that the aggravators and the mitigators are in equipoise, then they allow the default rule to dictate the sentence of death.  Isn't that right?   INTERRUPTING ",04-1170
0,"Samuel A. Alito, Jr.  Would it be constitutional if the Kansas statute said that,  ""The jury must find, by a preponderance, that the aggravating factors outweigh the mitigating factors? ""   Samuel A. Alito, Jr.  And wouldn't a defendant be better off under the current Kansas statute than under a statute like that, where, under the current statute, the jury has to find, beyond a reasonable doubt, that the aggravating factors and the mitigating factors are at least in equipoise?   INTERRUPTING Samuel A. Alito, Jr.  Well, I mean--   Samuel A. Alito, Jr.  --suppose the jury thinks that the aggravating factors outweigh the mitigating factors 51-49.  Now, under the first statute that I hypothesized, that would result in a verdict of death, would it not?  What would the result be under the... under the current Kansas statute, where the aggravators have to be shown, beyond a reasonable doubt, to outweigh the mitigators?   INTERRUPTING ",04-1170
0,"Samuel A. Alito, Jr.  Are you--   INTERRUPTING Samuel A. Alito, Jr.  --Are you saying that the error is simply that it wasn't done via Rule 15?  What if we were to say that the same considerations apply when it's simply raised sua sponte by the... by the... by the District Court?  What would be your objection to that?   INTERRUPTING Samuel A. Alito, Jr.  Well, if you think it's... if it's done under Rule 15, would the considerations necessarily be exactly the same in a habeas case as in an ordinary civil case?   ",04-1324
1,NO QUESTIONS,04-1324
1,"Samuel A. Alito, Jr.  But is it your argument that the State's evidence can't be considered at all, or that it can't be given more than a certain amount of weight?  And if it's the latter, where do you draw the line?   INTERRUPTING Samuel A. Alito, Jr.  Yes, but the State doesn't go that far.  If it doesn't require the defendant to persuade the judge of the defendant's likely innocence, then there's no constitutional violation.  If the... if the rule of State law simply requires a consideration of the strength of the prosecution evidence in relation to the defense evidence, that's... that's all right?   Samuel A. Alito, Jr.  But where is the line?  That's what I'm trying to get at.  If it's... if the rule is that the defendant has to raise a reasonable inference of innocence and you take into account the strength of a prosecution's case in making that determination, you don't just accept the defense evidence and... and see whether... how... how strong an inference of innocence it would raise if it's believed.  I mean, where is the line?   INTERRUPTING Samuel A. Alito, Jr.  And that would be unconstitutional as well.   INTERRUPTING Samuel A. Alito, Jr.  That makes it sound like it can't be considered at all.   INTERRUPTING Samuel A. Alito, Jr.  But there wasn't much evidence against him other than the forensic evidence.  Isn't that right?  There's just some people who saw him nearby.   INTERRUPTING Samuel A. Alito, Jr.  Right.   Samuel A. Alito, Jr.  So the jury must have found that forensic evidence to be very convincing.   INTERRUPTING Samuel A. Alito, Jr.  Can... can a trial judge exclude defense evidence based on credibility determinations?     No.  I don't... I don't think they can.   Samuel A. Alito, Jr.  Isn't that... but isn't that what happened here?     No.  I think... I think this court excluded it on the basis of reliability determinations, whether in fact there was sufficient corroboration for what the individual was saying in the statement.  The trial judge found that the information that was purported to be said by Jimmy McCaw White was something that was generally known within the community as a whole.   Samuel A. Alito, Jr.  How could... how could court conclude that the State's evidence was strong without making... without finding, in effect, that the State's forensic witnesses were credible?     I think they could evaluate the evidence in the manner that it... that it was presented to them to get an indicia as to whether there is any reasonable reliability to the third party guilt evidence.   Samuel A. Alito, Jr.  Just take, for example, the... the palm print.  The chief Mobley said he found it in... in the apartment, and that would be very strong evidence, if in fact that was the case.  But his credibility was contested.  So how can you conclude that the palm print is strong evidence for the prosecution without implicitly making a determination, a credibility determination?     Well, I think that type of evaluation, we believe, necessarily needs to be done to make a determination to the... to the probative value or the prejudicial value to the presentation of the third party guilt evidence of... of the defendant, that all those matters need to be looked at as to whether, in fact, it should come in.   Samuel A. Alito, Jr.  But then the court is making--     If there was just the palm print--   Samuel A. Alito, Jr.  --the court is excluding defense evidence based on a finding that a prosecution witness is credible.     --No.  I don't think that's the test, and I don't think that's what they were doing in this case.  They were making that... viewing that information to determine whether the presentation was reliable that was being presented, whether there was some substance actually to what was being given, and whether leaving that information out would have deprived him of a meaningful right to present relevant evidence in his defense.   Samuel A. Alito, Jr.  On the other side, if Westbrook is credible, isn't that strong evidence for the defense?     The... the... it's... it's evidence for the defense, but it's evidence for the defense that lacked the sense of reliability.  And it lacked--   Samuel A. Alito, Jr.  --it be credible that White confessed to him--     --He... he--   Samuel A. Alito, Jr.  --then wouldn't that be strong evidence for the defense?     --It's some evidence for the defense, but the problem is it lacked corroboration.  It wasn't given in a timely manner.  If you contrast that to the situation which occurred in Chambers v. Mississippi, there was an entire information that the Chambers situation had independent of the third party statement which supported and showed that that information did have persuasive assurances of reliability.  That was lacking in this particular case.  I see my time is about up, but I would--   ",04-1327
0,NO QUESTIONS,04-1327
1,"Samuel A. Alito, Jr.  But what is the difference between asking whether something is implicit in the, in the prior art and simply asking whether it would have been obvious to a person of ordinary skill in the art?   ",04-1350
0,"Samuel A. Alito, Jr.  Well, once you define the teaching, suggestion and motivation test that way so that it can be implicit, it can be based on common sense, I don't quite understand the difference between that and simply asking whether it's obvious.  Could you just explain what that adds?   INTERRUPTING Samuel A. Alito, Jr.  Would you dispute that in some of the earlier cases, like Dembiczak with the garbage bag that looks like a pumpkin, that this TSM test was applied in a way that seemed to ask for something quite explicit in the prior art?   ",04-1350
