0,"Sandra Day O'Connor  Is it a fact that most chapter 13 bankrupts don't make it to the end of the program?   Sandra Day O'Connor  In fact, the vast majority fail.   Sandra Day O'Connor  I thought we had statistics on that.   Sandra Day O'Connor  Well, you could ask them to just look at the contract rate and, if need be, make some adjustment to that because of the fact that they won't have to...   Sandra Day O'Connor  go through the collection process.   ",02-1016
1,NO QUESTIONS,02-1016
1,"Sandra Day O'Connor  Mr. Phillips, I'm glad you're doing that.  This is a suit, a diversity suit, between an Australian entity and a Virginia company about a rail accident on land, and why do you think Federal law applies?   Sandra Day O'Connor  Was... was the question waived by the respondent below?  How... how did you all proceed on this assumption?   INTERRUPTING Sandra Day O'Connor  Mr. Hungar, the railroad industry has been deregulated.  As a result, I suppose the nondiscrimination policy doesn't apply.  It may end at the water's edge.  So how would there be any preemption?   Sandra Day O'Connor  Thank you.   ",02-1028
0,"Sandra Day O'Connor  Can you point to the record anyplace where you took the position below that Federal law could not and did not apply?   Sandra Day O'Connor  Well, why shouldn't we just say you both assumed it was going to be decided under Federal law?   INTERRUPTING Sandra Day O'Connor  Well, now, the parties presumably could agree among themselves in the contract what law to apply.   INTERRUPTING Sandra Day O'Connor  So is it a step to say they can implicitly agree the same thing?   Sandra Day O'Connor  There's no objection.   Sandra Day O'Connor  Yes, but it's a little late.   Sandra Day O'Connor  But the Jenson line may make real sense in... in its application to intermodal bills of lading like this which occur all the time.  It seems so strange that a carrier like Hamburg Sud would have to spend a lot of time and money finding out if they're contracting with an intermediary who has other contracts or what's going on.  I mean, these are things that happen all the time, and I wonder if the Jenson line isn't the correct line to look to.   Sandra Day O'Connor  Mr. Frederick, just as a practical matter, why isn't the client satisfied with suing ICC for damages, which I understand has... has been done?   INTERRUPTING Sandra Day O'Connor  Well, that doesn't answer my question.  I... I understood that Kirby collected insurance and sued ICC.   INTERRUPTING Sandra Day O'Connor  And it wants now to collect money from Norfolk.   INTERRUPTING ",02-1028
1,"Sandra Day O'Connor  Well, I suppose we'd have to decide here not only whether it was per se invalid, but whether it was reasonable under any other standard.   Sandra Day O'Connor  And let me ask you, is it often that roadblocks are set up just to get information like this?   Sandra Day O'Connor  This was a little odd.  It was a week later?   Sandra Day O'Connor  Well, now, in the Edmonds case, the Court opinion said that under exigent circumstances there could be some kind of a...  an appropriately tailored roadblock.  Do you take the position that trying to find a witness was some kind of an exigent circumstance here?   Sandra Day O'Connor  All right.   ",02-1060
0,Sandra Day O'Connor  I didn't think that was the evidence.  I thought they were given a flyer saying if you...  read this and see if you observed anything that could help us find the hit-and-run driver.   Sandra Day O'Connor  Did this...  is it the case that in this very situation we're talking about it led to information about the person responsible?   ,02-1060
1,"Sandra Day O'Connor  But why?   INTERRUPTING Sandra Day O'Connor  I mean, what's going on?   Sandra Day O'Connor  Well, that question is open, is it not?  I mean, even if we were to agree with you on the section 113, why wouldn't we leave it open as to whether Aviall can go under 107(a)?   Sandra Day O'Connor  Right.   ",02-1192
0,"Sandra Day O'Connor  Well, in this case, has the court below directly ruled on whether there's a 107 cause of action here?   Sandra Day O'Connor  So that's still open.   Sandra Day O'Connor  I guess you do admit, though, that no civil action had been brought against Aviall.   INTERRUPTING Sandra Day O'Connor  So that much is clear.  And... and section 113(f) says, any person may seek contribution from any other person during or following any civil action under 106 or 107(a).   Sandra Day O'Connor  So how do you fit yourself within that provision?   INTERRUPTING Sandra Day O'Connor  No.   INTERRUPTING Sandra Day O'Connor  Well, perhaps Congress should have used different language.  That's our problem.  We can't make it up.   ",02-1192
1,"Sandra Day O'Connor  Mr. Feldman, do we need to apply the clear statement rule of Gregory v. Ashcroft for you to prevail?   Sandra Day O'Connor  Exactly.   Sandra Day O'Connor  Well, Mr. Strauss points to subsection (b) of the statute as indicating Congress did contemplate giving some leeway.   ",02-1238
0,NO QUESTIONS,02-1238
1,"Sandra Day O'Connor  Mr. Kneedler, in your view, are there any instrumentalities of the United States that you think could be considered a person under the Sherman Act?   Sandra Day O'Connor  Of course, I guess the court whose judgment we're reviewing thought that the change in the structure of the Postal Service affected the nature of that instrumentality.   ",02-1290
0,"Sandra Day O'Connor  Well, it's an...   Sandra Day O'Connor  Well, why isn't this the kind of policy judgment that we ought to leave to Congress to make explicitly?  The Post Office, as reorganized, has two aspects to it, as you've pointed out effectively, but how it should relate to the Antitrust Act seems to be the kind of judgment that Congress should address expressly.  Isn't that so?   Sandra Day O'Connor  Well, I thought we had already discussed that.  I mean, the mere fact that there's a sue-and-be-sued clause is not enough under the Meyer approach to answer the question.  You have to...   Sandra Day O'Connor  take another step...   Sandra Day O'Connor  beyond that.   ",02-1290
1,"Sandra Day O'Connor  Well, it could and it is different from ordinary negligence.  I mean, it is conceivable at least that to have an airline stewardess say no when the policy of the airline and the standard generally is to the contrary and to say, no, I will not consider moving you even though there were seats further away from the smoke origin.   Sandra Day O'Connor  Yes.   Sandra Day O'Connor  But was it determined here that the passenger died from smoke exposure?   Sandra Day O'Connor  And do we take the case on that understanding?   Sandra Day O'Connor  And is it the case that there would have been seats possibly available more removed from the smoke so that it wouldn't have been as heavy an exposure to smoke?   Sandra Day O'Connor  But here there was a total refusal to...   Sandra Day O'Connor  to provide any help.   Sandra Day O'Connor  I don't know if we really have to get into the act versus omission question here because this was more than that.  It was a refusal to take action in the face of an alleged severe medical problem and in...  in contravention to the rules of the airline at the time.  So you could characterize this, I think, as some kind of positive action, in effect.   Sandra Day O'Connor  No request made?  I thought the wife made a request.   Sandra Day O'Connor  Excuse me.   Sandra Day O'Connor  Oh.   Sandra Day O'Connor  Well, but of course, the exposure might have been substantially reduced if the passenger had been able to get seated in an area further removed from the active smokers.   ",02-1348
