1,"Sonia Sotomayor  I'm sorry.  Justice Ginsburg's hypothetical was you are entitled to $100 as a statutory penalty but only if it's an individual claim.  If you -- if this is brought as a class action, you don't get the statutory penalty.  I thought that was the substance of her question.  Now, are you saying that also is merely procedural and -- and pre-empted by Rule 23?   INTERRUPTING Sonia Sotomayor  Counsel, you get $100 or you don't get $100.  How can you be any less substantive than getting the $100 or not getting the $100?   INTERRUPTING Sonia Sotomayor  Then under your view, there is absolutely nothing, no law that the State could pass that would not conflict with Rule 23--   INTERRUPTING Sonia Sotomayor  --as it -- as with respect to class actions?   INTERRUPTING Sonia Sotomayor  You mean the State could do.   ",08-1008
0,"Sonia Sotomayor  But isn't Rule 23 a judgment by Congress that class actions that meet the criteria of Rule 23 are fair and efficient, correct?  That's Congress's judgment?   Sonia Sotomayor  Under your theory, any State could pass a law that says no cause of action under State law can be brought as a class action ever.  That would be your theory because it's substantive, if it's an Erie choice.   Sonia Sotomayor  You haven't quite answered my question.   Sonia Sotomayor  Your State can come in and say, no State cause of action will ever be subject to class treatment.  And you would say there is no conflict between that and Rule 23?   INTERRUPTING Sonia Sotomayor  No.  No State cause of action can be brought as a class.  You're saying there is no conflict with Rule 23's judgment about efficiency of Federal court litigation?   INTERRUPTING Sonia Sotomayor  Just what it's doing here.  There are some things -- we make a policy choice, the State, that, contrary to Rule 23, that there are some causes of action that are not fairly and efficiently brought as a class.  That's what the State has said as a policy choice, correct?   Sonia Sotomayor  It's a policy choice.   INTERRUPTING Sonia Sotomayor  So you have answered my question.  Under your view, a State could say, no class actions.   INTERRUPTING Sonia Sotomayor  And -- and a Federal court, sitting in diversity, could never aggregate those claims, those State law claims?   Sonia Sotomayor  Counsel, how can you say that?  The case itself says: We read the language of the statute; Congress didn't say this was to be a class action; we are not permitting it.  I understand the difference, and it could have argued or analyzed the case the way you said, but the appellate division there did exactly what your adversary said it did.   ",08-1008
0,"Sonia Sotomayor  But that makes no sense because, if you go down that road, then what you're saying is that neither the -- neither a police officer or a different prosecutor who fabricated evidence could be liable, either, because the only person who causes the deprivation is the prosecutor who uses the false evidence at trial.   Sonia Sotomayor  Now, the Second Circuit in its decision, Judge Newman, looked at it and said there are two causes to the injury here.  One is the fabrication, joint tortfeasors.  There are two people who can cause any injury and the prosecutor who actually puts the evidence in at trial.  That's how you hold police officers and different prosecutors liable because they are assisting in the violation that is occurring.   Sonia Sotomayor  Why doesn't that theory fit the same prosecutor who commits two different acts?   INTERRUPTING Sonia Sotomayor  One commits the direct violation, and the other act, the investigatory act, contributes to it, leads to it as a joint activity with it.   INTERRUPTING Sonia Sotomayor  You're confusing -- the constitutional injury is the deprivation of liberty.  That's the injury.   Sonia Sotomayor  What causes that injury is not an element of the crime.  It is -- the question is have you proven the violation, have you proven the injury.   INTERRUPTING Sonia Sotomayor  So why does the use define the scope of the injury?   INTERRUPTING Sonia Sotomayor  A prosecutor is not going to flinch when he suspects evidence is perjured or fabricated?  Do you really want to send a message to police officers that they should not merely flinch but stop if they have reason to believe that evidence is fabricated?   INTERRUPTING Sonia Sotomayor  Am I right that none of the -- neither of the two prosecutors in this case were sanctioned in any way for their conduct?   Sonia Sotomayor  But you have no reason to dispute the numerous studies we were provided that show that as a matter of routine prosecutors are not sanctioned for improper prosecutorial conduct in the investigatory stage, are you?   ",08-1065
1,NO QUESTIONS,08-1065
1,"Sonia Sotomayor  Counsel, the problem with every test is that you can find an exception that makes the application ridiculous.  Let's assume that we accept that headquarters or nerve center may have some applicability to a corporation that has a business in a variety of different States.   Sonia Sotomayor  All right.  That's -- your situation is perhaps the most attractive--   Sonia Sotomayor  --because whether California has 20 percent and Florida 14 or 15 percent, to me the differences are not terribly substantial.  I can imagine McDonald's having 1 percent in every part of the world, and how do you choose then?  California would say, then you -- you go back to headquarters.  But I don't know why you start there.  But let's posit the simpler situation.  Headquarters in New Jersey, but everything else is in California.  Your test would ignore completely that -- and it depends on how you define ""headquarters"".  If they have three corporate executives, that's the entire extent -- or let's say one corporate executive who started the company and who lives in New Jersey, and he flies out to California half the time and runs the business from there but happens to live in New Jersey.  Then you would say diversity is still New Jersey, correct?   INTERRUPTING Sonia Sotomayor  But you have not articulated a -- at least to me, a meaningful principle in which to set that exception.  It has to be tied somehow to the test and why the test in some situations would have applicability and others may not.   INTERRUPTING Sonia Sotomayor  Because I don't know the difference between one headquarters and two places to do business or three, but I can still see that some factoring has to be done when the places of business are more limited.   INTERRUPTING Sonia Sotomayor  So what constitutes headquarters?   Sonia Sotomayor  How many executives have to live there?  What else has to exist there?  And then what is the default rule if those things don't exist?   INTERRUPTING Sonia Sotomayor  Counsel, all you are talking about is not necessarily nerve center, because in reading the examples in your brief, what you are talking about is: Where is the place where they have the most important, significant, influential contact?  Now, the Ninth Circuit has defined that as the place where business is done; you are suggesting that it's the place where the nerve center is.  But it goes back to begging my question: Why -- just simply their declaring it on a tax form doesn't make it important, influential, or significant contact.  There has to be something more to the test, and it can't be just what I declare my headquarters to be.  There has to be some form of activity in that place.   Sonia Sotomayor  That's -- that's the point.   INTERRUPTING Sonia Sotomayor  Is there -- is there something to a rule that says headquarters is presumptively the nerve center, but a challenged party, whoever that is, can rebut it?   INTERRUPTING Sonia Sotomayor  Well, that's the point that I raised, which is that the headquarters is not an important, consequential, or substantial.  You can rebut it if you can show that it is a shell headquarters.   Sonia Sotomayor  Well, but--   INTERRUPTING Sonia Sotomayor  --That's the problem, which is, the party comes in, alleges by summary judgment that -- in a summary judgment motion: This is my corporate headquarters.  The other side's going to have to come forth with evidence that shows something.   INTERRUPTING Sonia Sotomayor  So that it's always a rebuttable presumption.   INTERRUPTING Sonia Sotomayor  I actually do not know whether public filings define what ""headquarters"" mean.  Is there a -- I know you have said it in your brief, but what I didn't know is whether those public filings define the activity necessary to designate a place as ""headquarters"".   INTERRUPTING ",08-1107
0,"Sonia Sotomayor  Why -- why didn't they say place of doing business?  That's not the terminology that they used.   INTERRUPTING Sonia Sotomayor  That would be more consistent with an aggregation of -- of all of the factors the Ninth Circuit starts with.   INTERRUPTING Sonia Sotomayor  Counsel, what's very clear from all of the articles I have read in the lower court decisions is that Congress may have thought it was picking a well-defined phrase, but, in fact, it wasn't, that the Courts below are confused about what they were doing before the statute.  So I don't know why importing the belief that something was clear into a reality that it's not helps us.   INTERRUPTING Sonia Sotomayor  So why do you -- why do you think that the circuits courts -- the vast majority of them, the third, the first, the second, the fifth, they all start with the proposition that, if a place has far-flung businesses, then the nerve center test should start the inquiry and control it more than in a situation where there are lesser places of business?   INTERRUPTING Sonia Sotomayor  Well, that's a big difference.   Sonia Sotomayor  I -- you know, to me, the word 50 percent.  I'm having a hard time understanding what the appreciable difference is between 20 percent and 14 and the balance being spread over so many other places.  What -- that seems very arbitrary in terms of the place that generates the most money.  That's it.  That's the place you are at home.   Sonia Sotomayor  Well, but that's what -- but that goes back to the point, if we are talking about shields or swords, Congress had before it a provision that would say, anywhere you do business, you are not a foreigner, because you are there.  The people are going to perceive you as a business -- the local business that is doing business in that location, and Congress rejected that.  So foreign has to have a meaning that was somewhat different.  And you don't think the corporate headquarters where management is, where the direction for the operation of the business is coming from, is the place that needs the most protection in this system because they are the ones making the decisions, and so aren't they the ones who need to be protected from local bias?   Sonia Sotomayor  That's the very first little shop was there.   Sonia Sotomayor  Can you tell me what 100 percent means?  Are the number of workers in Seattle inconsequential?  Is there one worker there or are we talking about 1,000 in--   Sonia Sotomayor  --Isn't that important?  As Justice Scalia said that per capita California is going to dwarf anybody anywhere if you are going to have a multi-location place of business.  So don't you have to know the raw numbers?   ",08-1107
1,"Sonia Sotomayor  Is there a -- is there a difference between unethical and illegal advice?   INTERRUPTING Sonia Sotomayor  As an attorney can you under -- give unethical advice?   INTERRUPTING Sonia Sotomayor  Under the State rules you can give unethical advice as a lawyer?   Sonia Sotomayor  So if you are not permitted to do so, what in the First Amendment would otherwise give you that right?  I mean, this is a commercial transaction of sorts.  It's a fiduciary duty, but it's a commercial transaction.  They are coming to you and they are paying you for certain advice, so why would the person then protect your right to give unethical advice.   Sonia Sotomayor  We are assuming that it's not read with a limitation with respect to abusive conduct.   INTERRUPTING Sonia Sotomayor  Assuming that is read into the statute or is viewed as part of ""in contemplation of bankruptcy"", what in the First Amendment would make that be?   INTERRUPTING Sonia Sotomayor  Which doesn't explain why.   Sonia Sotomayor  You don't understand what it means as a lawyer?   INTERRUPTING Sonia Sotomayor  Before you go on on 528, could you clarify for me: What is your challenge to 528?  Is it a normal--   Sonia Sotomayor  --528.   Sonia Sotomayor  Is it a normal facial invalidity?  Is it an overbreadth invalidity?  Is it an as-applied challenge?  What exactly are you claiming with respect to that--   Sonia Sotomayor  --528.   Sonia Sotomayor  Yes.   INTERRUPTING Sonia Sotomayor  Can you tell me how you have an as-applied challenge when I don't even know what ad is at issue?   INTERRUPTING Sonia Sotomayor  I -- I have scoured the record for a handbill, meaning -- an advertisement--   Sonia Sotomayor  --by you that I could look at and say, you know, I'm looking at it and it's not misleading.  So where is it in the record?   INTERRUPTING Sonia Sotomayor  I -- I truly have never heard of an as-applied challenge when we don't know what it is being applied to.  But putting that aside, so you have an as-applied challenge; do you have a facial challenge or an overbreadth challenge?   Sonia Sotomayor  Yes, the 528.   INTERRUPTING Sonia Sotomayor  Did the government bring this lawsuit below?   Sonia Sotomayor  So what, were they supposed to scour your advertisements to find the violation?  Was that it?   INTERRUPTING Sonia Sotomayor  Could I ask you something?  When you are an attorney advertising as an attorney who gives advice on bankruptcy, why aren't you a debt release -- relief advisor?   ",08-1119
0,"Sonia Sotomayor  That's -- that's the clear case.  How about the person comes in, shows the attorney his or her financial state.  There is no money to pay the fee.  The attorney simply gives a bill and says, ""I need it by Friday"".  No self-respecting person would believe that the individual is going to pay that bill without borrowing money from somewhere, if you have looked at their financial statement and there is no money to be had.  Would the attorney have violated the statute there?   INTERRUPTING Sonia Sotomayor  Just one.  So, basically, your bottom line is any advice to incur debt to pay an attorney is illegal?   Sonia Sotomayor  Perhaps I am being -- not quite understanding you.  You are underscoring the more debt, that is going to always be additional, if the advice is to incur it.  So what meaning are you giving to more that I am missing?   Sonia Sotomayor  How about a law firm that represents the biggest companies in the world?  And so they are never going to consciously, intentionally seek out or represent a person defined with the financial limitations of this category.  But it so happens that one of their very rich clients comes in and says, I have a small -- my brother-in-law is running a small business; help him or her.  Is that firm in violation now because their advertisements did not include what 528(a) required?   INTERRUPTING Sonia Sotomayor  So they have to -- for this one brother-in-law, they have to amend -- they're now violated the statute ex post facto somehow?   INTERRUPTING ",08-1119
0,"Sonia Sotomayor  It was wrong.  Let's assume--   Sonia Sotomayor  --the circuit -- the district court judge, the bankruptcy court judge, got it wrong, legal error.  Should not have been discharged, a given.  Neither -- the confirmation plan should not have been approved, neither should the discharge order have been entered.  We will go back to what was entered and -- and -- and the effect of that, because I'm not sure of it -- it's an error.  How does that give you a right to undo that judgment 7 years later -- was it 5, 6, 7 years later?  That's the question here.  Why is something that's in error become a void judgment?   Sonia Sotomayor  But so does -- most error committed by courts, inadvertently or otherwise, are in contravention of some statutory command.  This is no different.  Voidness, as I've heard it described by many others, appears to mean that the court is acting either without jurisdiction over the people, and that's not at issue here -- there was jurisdiction over the parties here -- or without jurisdiction over the res.  But the bankruptcy court does have jurisdiction, albeit in some -- in all circumstances, it had jurisdiction over the student debt.  The issue is what could it do with it.  But this is not a case involving a lack of jurisdiction by the court over property.  So why is this more than mere error?   INTERRUPTING Sonia Sotomayor  But that -- that goes back to something more fundamental.  There's no issue here that the court had jurisdiction over these parties, unlike the insurance company.  And there's no issue that the court didn't have jurisdiction over this res.  They could decide that a student loan was dischargeable.  They just had to follow certain procedures.  It's a very different set of circumstances in that case.   Sonia Sotomayor  So it's not -- it's not that it is not dischargeable.  It's only dischargeable under certain conditions.   INTERRUPTING Sonia Sotomayor  All right.  So -- so you're almost begging the question, because it's possible to argue that if a debt is not dischargeable at all under any circumstance, your argument might have more legs because then the court has no jurisdiction over that property.   INTERRUPTING Sonia Sotomayor  But that's not the case with these exceptions.  They can all be discharged.  It's just a matter of whether the conditions have been met or not.   Sonia Sotomayor  Could you go back to the fundamental part of my question to your adversary?  The plan order included a discharge of the student interest -- of the interest on the student loan.   Sonia Sotomayor  It just proposed a discharge of a certain amount lesser than the principal plus interest.   Sonia Sotomayor  Right.  That's the plan.  And then you have a discharge order.  And the two are not congruent.  So what's the final judgment?   INTERRUPTING Sonia Sotomayor  No, no.  Is it the confirmation order or is it the discharge order?  Are they different judgments?  What -- what controls?  And what were you--   ",08-1134
1,"Sonia Sotomayor  Could I--   Sonia Sotomayor  --Counsel--   Sonia Sotomayor  --Counsel, may I interrupt for just one moment, because I -- there is something niggling at me that I do need an answer to before you sit down--   Sonia Sotomayor  --I'm sorry.   INTERRUPTING ",08-1134
