0,"William H. Rehnquist  Are there statistics on that kind of cases that you're describing now?   William H. Rehnquist  Very well, Ms. Harper.  Mr. Salmons, we'll hear from you.     William H. Rehnquist  Page 19 of what?   William H. Rehnquist  Not secured versus unsecured.   William H. Rehnquist  Well, why isn't that a valid distinction?   William H. Rehnquist  Well, and the risk...   William H. Rehnquist  The risk of the security will just disappear too, you know, be totally devalued.   William H. Rehnquist  But if the second one was so stupid as to do that, why should he be protected?   William H. Rehnquist  Thank you, Mr. Salmons.   William H. Rehnquist  Mr. Brunstad, we'll hear from you.     G. Eric Brunstad, Jr.  Here we have a situation in which the correct rate for auto loans is evidenced by...  I think best evidenced by the auto loan contract.  It is a loan between this lender and this debtor, decided in the marketplace, with this particular collateral.  It is the best evidence of a market rate that we have.  It's not perfect, Your Honor.  I concede that, but it is the best evidence.   ",02-1016
1,"William H. Rehnquist  Your...  your opponent says that the...  that that's...  if you're taking after the thing is confirmed, after...  that it's a 63 percent.   William H. Rehnquist  Since...  and since this is an after-confirmation case, why...  why don't we take that percentage?   William H. Rehnquist  After...   William H. Rehnquist  Well, couldn't the creditor have brought in an expert?   William H. Rehnquist  But...  but your original...  you charge 21 percent, and a lot of people are going to successfully pay that and that stream there takes into consideration some account for those who don't pay and go into bankruptcy, doesn't it?   ",02-1016
1,"William H. Rehnquist  Well, the difficulty with that was we would be deciding a highly hypothetical case without knowing that Federal law governed.   William H. Rehnquist  But now, for instance, we... we do not accept stipulations on questions of law.  We accept stipulations on questions of fact.  You're saying it was litigated on the assumption of... isn't that pretty much like a stipulation?   INTERRUPTING William H. Rehnquist  Yes.   William H. Rehnquist  That was before Erie against Tompkins.   William H. Rehnquist  Very well, Mr. Phillips.  Mr. Hungar.     William H. Rehnquist  Yes, but I think we would have some reservation about... excuse me... about deciding a case where one of the principal points in issue was simply assumed rather than decided.   INTERRUPTING William H. Rehnquist  What... what if the overseas... this maritime part of the shipping was 500 miles and the land part was 2,000 miles?   INTERRUPTING William H. Rehnquist  Well, I'm asking you to do a mileage analysis.   William H. Rehnquist  You're talking not my hypothetical, but about the facts of this case.   William H. Rehnquist  I said, you're not talking about the 500 miles ocean/2,000 miles land.  You're talking about the facts of the case we're arguing now.   INTERRUPTING William H. Rehnquist  And might not that have been a matter of contract law?   ",02-1028
0,William H. Rehnquist  This is the Shipping Act you're talking about?   ,02-1028
1,"William H. Rehnquist  Well, what...  what about...   William H. Rehnquist  Mr....   William H. Rehnquist  a road...  roadblock that you find in perhaps some smaller towns where the police just very briefly stop you and ask you to contribute to the police boys fund.   William H. Rehnquist  I don't think it is.     [Laughter]   William H. Rehnquist  Very well, Mr. Feinerman.  Ms. Millett, we'll hear from you.     ",02-1060
0,"William H. Rehnquist  Well, suppose that there is a roadblock but the only purpose of the roadblock is the police are stopping people to see if they'll contribute to the police boys fund.  The same thing...  exactly the same thing happens with that roadblock has happened with your client.  He comes up, almost hits the policeman, smells alcohol on his breath and so forth, he's charged with drunken driving and is convicted.  Does he have a Fourth Amendment claim?   William H. Rehnquist  So they can hold him up for 2 hours if they're collecting for the police boys fund but they can't hold him up for 10 or 15 seconds if they're trying to solve a crime?  That doesn't make any sense.   William H. Rehnquist  Well, but maybe television won't cover just a blurb put out by the police where they will cover a roadblock.   William H. Rehnquist  Well, but that...  that happens in a lot of other contexts too.  You can be driving on a highway, all of a sudden everything comes to a stop.  What's the matter?  Is it an accident?  Are they having one-lane repair?  And you just don't know, I mean, that's part of the condition of driving.   William H. Rehnquist  So even...  even if it were, say, a carjacking, where there was a fatality, if it's stale it can't be done?   William H. Rehnquist  Well, what if...  what if you've got a...  a license number and for...  for a serious crime that was committed, say, an hour ago?  Can...  can you then conduct a...  this sort of program?   William H. Rehnquist  Of course...  Well, what if you...  what if you just had the information that it's...  it's a black Ford SUV?   William H. Rehnquist  Yeah.   William H. Rehnquist  Well, if people in Lombard care about it, they can tell the police to stop doing it.   ",02-1060
1,"William H. Rehnquist  Thank you, Mr. Reynolds.   William H. Rehnquist  Mr. Minear, we'll hear from you.     ",02-1192
0,"William H. Rehnquist  Thank you, Mr. Minear.  Mr. Faulk, we'll hear from you.     William H. Rehnquist  Well, it... it says... it says, the right of any person to bring an action.  That's a little different than saying what you just said.   ",02-1192
1,"William H. Rehnquist  Very well, Mr. Feldman.  Mr. Molteni, we'll hear from you.     William H. Rehnquist  You're saying that it's one thing for the Federal Government to supersede State regulation substantively, but another thing to say...  to tell the State not only do we do that, but we're going to change the relationship you have with your local subdivisions.   William H. Rehnquist  Thank you, Mr. Molteni.  Mr. Strauss, we'll hear from you.     David A. Strauss  Thank you.   William H. Rehnquist  Mr. Feldman, you have 2 minutes remaining.     ",02-1238
0,"William H. Rehnquist  When you...  when you say the statute has to be ambiguous, the Gregory rule as put forth in the opinion is that there has to be a clear statement covering the Federal...  Federal aspect of the thing.  And it seems to me that that cuts away from the idea it has to be ambiguous.   William H. Rehnquist  Yes, but Raygor had any entity too and we said that was not conclusive there.   William H. Rehnquist  And also the fact that sovereign immunity had never extended...  a State Eleventh Amendment immunity had never...  had never been extended to counties.   William H. Rehnquist  But why should we...   William H. Rehnquist  Why should we interpret a statute in that awkward way, that the FCC has to make this kind of factual inquiry in every case?   ",02-1238
1,"William H. Rehnquist  Is the private express statute still in effect?   William H. Rehnquist  Does the Post Office have the power of eminent domain?   William H. Rehnquist  What about...  what about inverse condemnation?  Supposing the post office takes property without the ability to pay for it.   William H. Rehnquist  What if...  what if the Post Office buys a lot of paper from somebody and doesn't pay for it?  What's...  what is the remedy of that person on a contract?   William H. Rehnquist  And that could be...  that sort of an action could be brought under the Contract Disputes Act?   William H. Rehnquist  Thank you, Mr. Kneedler.  Mr. Krent, we'll hear from you.     Harold J. Krent  And indeed, if that were all that the Postal Service had filed for, I would be...  I would be in total agreement with Your Honor.  But the Postal Service had filed for 300, at least 350, I believe, copyrights, books, training manuals, things that have nothing to do with the protection for the legitimacy of...  of stamps.  So again, the Postal Office has defined itself through its actions as a person in comparable commercial tort situations.  It's only logical that if a Postal Service in the commercial world, saying that it's not like the United States for copyrights, for trademarks, then it's not like United States with respect to antitrust.  When Congress formed the Postal Service, Your Honors, and it took away the APA, the Postal Rate Commission for these non-monopoly actions, as well as the Federal acquisition regulations, certainly there was a quid pro quo.  If you streamline the operations of the Postal Service, launch it into business, you would expect the private commercial torts in antitrust laws to be the restraint to make sure that the monopoly is not extended to the other kind of operations.  And so I think that Congress' intent is quite clear that the Postal Service is unique, does not partake of the United States, and therefore, just as the Postal Service can be sued in tort law and under the Lanham Act, be it the old Lanham Act, the new Lanham Act, it can be sued under the antitrust laws as well.  The burden, therefore, on the Solicitor General to explain why Congress would have wanted the Postal Service's monopoly to be extended, and why Congress would have wanted the Postal Service to be sue...  to be able to be sued and to sue themselves without really being able to take advantage of the opportunity to sue in their own name under the antitrust laws or under trademark and copyright law, et cetera, and why they shouldn't be sued as well.  If there are no further questions, thank you.   William H. Rehnquist  Thank you, Mr. Krent.  Mr. Kneedler, you have six minutes remaining.     ",02-1290
0,"William H. Rehnquist  You're saying then that the Cooper decision doesn't affect your argument, because the...  the Congress has separated the Post Office Department from the...  from the executive?   William H. Rehnquist  Well, neither of those are quite in point.   William H. Rehnquist  There isn't any Postmaster General anymore, is there?   William H. Rehnquist  It doesn't differentiate though from the Meyer case?   William H. Rehnquist  But Meyer says you have to have something more than a sue-and-be-sued clause, that you have to show that there's a cause of action available.  So a sue-and-be-sued clause itself is not enough for you in this case, don't you agree with that?   William H. Rehnquist  Well, yes, but the...  that was true...  they said that in the Cooper case too, that person, and the Cooper Court said, no, the United States is not a person.   William H. Rehnquist  But certainly after the Cooper decision, it was clear that the United States could not be a defendant either, was it not, as well as not be a plaintiff...   William H. Rehnquist  Well, answer my question, will you?   William H. Rehnquist  Well, the...  what, the Postal Reorganization Act was 1970?  Have any other antitrust suits been brought against the Postal Service in that 34 years?   William H. Rehnquist  That's no longer the position of the department, is it?   William H. Rehnquist  But Congress could have said the Postal Service is authorized to sue and omitted the be-sued clause.  It could have done it that way...   William H. Rehnquist  in which there would have been no waiver.   William H. Rehnquist  Well, to say launch into the commercial marketplace, they're basically selling stamps and nobody else is selling stamps.  What kind of a launching is that?   William H. Rehnquist  Well, whatever they are...   William H. Rehnquist  Well, I...  I thought conceded they were subject to Federal Tort Claims Act?   William H. Rehnquist  Even though it's a state court action against the Post Office?   William H. Rehnquist  So the...  the Post Office can be sued in state court then for a...  for a state tort?   William H. Rehnquist  Well, that's...  that what I thought I asked you a minute ago...   William H. Rehnquist  and you said something different.   ",02-1290
0,"William H. Rehnquist  Were there other seats available in the economy section?   William H. Rehnquist  In the economy section?   William H. Rehnquist  Well, you...  you say you have to consider just very precisely what caused the injury.  What is your view here of what caused the injury?   William H. Rehnquist  Well, but does that make...  does that make any difference in...  in this case, the fact that his wife was speaking for him?   William H. Rehnquist  Well, but the...  I wouldn't think they allowed smoking before takeoff.   William H. Rehnquist  But are...  are you saying here that the court of appeals really wrote an opinion about...  in negligence and saying that's an accident?   William H. Rehnquist  But...  but it seems to me whatever you think about what the flight attendant did, it...  it can't be classed as negligence here.  It was a refusal to do something.   ",02-1348
1,"William H. Rehnquist  Your...  you stated in your opening that the airline's conduct here was contrary to industry policy, and I think Justice O'Connor premised an earlier question on saying it was against the policy of...  of this particular airline.  Spell that out a little, will you?  What was the policy of...  of the airline and why did this action violate it?   William H. Rehnquist  They're the same.   William H. Rehnquist  Would...  would it have been any more or less of an accident if that practice had not prevailed in the industry?   William H. Rehnquist  Supposing the airline's defense to throwing hot coffee on the passenger said our stewardesses do that all the time.     [Laughter]   William H. Rehnquist  There's unexpected about it.   William H. Rehnquist  Well, what if someone suffered, say, a heart attack on the plane and it was 3 hours from its destination and the doctor there said, you know, you've really got to...  in...  in order to avoid this guy probably dying, you're going to have to land somewhere en route?  Now, would an airline be obligated to do that in order to avoid this sort of accident?   William H. Rehnquist  Well, then...  then you're saying basically it depends on airline practice whether something is expected or unexpected and whether it's the normal practice.   William H. Rehnquist  Thank you, Mr. Farr.  Ms. McDowell, we'll hear from you.     William H. Rehnquist  Ms. McDowell...   William H. Rehnquist  Well, how does...  how does that differ from...  from the common law at all?  If you say objective reasonableness, you're really just changing accident into common law negligence, aren't you?   ",02-1348
1,"William H. Rehnquist  --Why don't you go ahead with the issues that are presented?   William H. Rehnquist  But you... you agree that it's the law of California that imposes the derivative liability on the partners?   William H. Rehnquist  What more do you want?   William H. Rehnquist  I say what more do you want.   INTERRUPTING William H. Rehnquist  You're saying it's doubly hypothetical because they can't raise the whole issue--   William H. Rehnquist  --at this point anyway.   William H. Rehnquist  Very well, Mr. Jones.  Mr. Haberbush.     David R. Haberbush  Thank you.     Mr. Jones, you have 5 minutes remaining.     ",02-1389
0,"William H. Rehnquist  Now, the Government says you... you did not raise what is now your principal argument until your merits brief.  Do you agree with that statement?   William H. Rehnquist  Did the court of appeals touch on it?   William H. Rehnquist  We don't ordinarily decide questions of State law here.  I think we would generally feel perhaps the Ninth Circuit knows more about California law than we do.   INTERRUPTING William H. Rehnquist  I said, we would think.  [Laughter]   William H. Rehnquist  Mr. Haberbush, do you defend the decision of the Ninth Circuit in this case?   William H. Rehnquist  That in order to collect against the partners, an assessment would have to be made against them?   INTERRUPTING William H. Rehnquist  Well, I thought... I thought the reasoning of the Ninth Circuit was that you couldn't collect against the partners unless you assess them too.   ",02-1389
