docket,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc,neuralegal_resp,neuralegal_pet,BREYER_pet_questions,BREYER_res_questions,BREYER_question_diff,BREYER_avg_words_pet,BREYER_avg_words_res,BREYER_avg_words_diff,BREYER_wc_ratio_pet,BREYER_wc_ratio_res,BREYER_wc_ratio_diff,BREYER_cc_ratio_pet,BREYER_cc_ratio_res,BREYER_cc_ratio_diff,BREYER_qc_ratio_pet,BREYER_qc_ratio_res,BREYER_qc_ratio_diff,GINSBURG_pet_questions,GINSBURG_res_questions,GINSBURG_question_diff,GINSBURG_avg_words_pet,GINSBURG_avg_words_res,GINSBURG_avg_words_diff,GINSBURG_wc_ratio_pet,GINSBURG_wc_ratio_res,GINSBURG_wc_ratio_diff,GINSBURG_cc_ratio_pet,GINSBURG_cc_ratio_res,GINSBURG_cc_ratio_diff,GINSBURG_qc_ratio_pet,GINSBURG_qc_ratio_res,GINSBURG_qc_ratio_diff,KENNEDY_pet_questions,KENNEDY_res_questions,KENNEDY_question_diff,KENNEDY_avg_words_pet,KENNEDY_avg_words_res,KENNEDY_avg_words_diff,KENNEDY_wc_ratio_pet,KENNEDY_wc_ratio_res,KENNEDY_wc_ratio_diff,KENNEDY_cc_ratio_pet,KENNEDY_cc_ratio_res,KENNEDY_cc_ratio_diff,KENNEDY_qc_ratio_pet,KENNEDY_qc_ratio_res,KENNEDY_qc_ratio_diff,ROBERTS_pet_questions,ROBERTS_res_questions,ROBERTS_question_diff,ROBERTS_avg_words_pet,ROBERTS_avg_words_res,ROBERTS_avg_words_diff,ROBERTS_wc_ratio_pet,ROBERTS_wc_ratio_res,ROBERTS_wc_ratio_diff,ROBERTS_cc_ratio_pet,ROBERTS_cc_ratio_res,ROBERTS_cc_ratio_diff,ROBERTS_qc_ratio_pet,ROBERTS_qc_ratio_res,ROBERTS_qc_ratio_diff,SCALIA_pet_questions,SCALIA_res_questions,SCALIA_question_diff,SCALIA_avg_words_pet,SCALIA_avg_words_res,SCALIA_avg_words_diff,SCALIA_wc_ratio_pet,SCALIA_wc_ratio_res,SCALIA_wc_ratio_diff,SCALIA_cc_ratio_pet,SCALIA_cc_ratio_res,SCALIA_cc_ratio_diff,SCALIA_qc_ratio_pet,SCALIA_qc_ratio_res,SCALIA_qc_ratio_diff
04-1034,1,2/21/2006,2,2006,JOHN A. RAPANOS ET UX. et al. v. UNITED STATES,-5,1.0,-1.0,0.0,0.333333333,0.052631579,6/19/2006,5.0,4.0,1.0,1,-1,0,1,0,-0.15862069,0.069967532,0.058712121,0.005434174,-0.02720456,0.0,2.0,6.0,6.0,1,2.0,2.0,8,11.0,1,1,0,0,390,0,12,1,24,292,0,12,0,20,1,196,182,5,2,11,10,303,655,9,8,21,37,748,980,14,12,52,56,0.255,0.877,0.0,0.5,-1,0.0,16.25,-1,0.0,1.0,-1,0.04,0.96,-1,0.0,1.0,-1,0.6,0.0,1,14.6,0.0,1,1.0,0.0,1,0.952380952381,0.047619047619,1,1.0,0.0,1,0.454545454545,0.2,1,17.8181818182,18.2,-1,0.518518518519,0.481481481481,0,0.52380952381,0.47619047619,0,0.714285714286,0.285714285714,1,0.428571428571,0.216216216216,1,14.4285714286,17.7027027027,-1,0.316283924843,0.683716075157,-1,0.362068965517,0.637931034483,-1,0.529411764706,0.470588235294,0,0.269230769231,0.214285714286,0,14.3846153846,17.5,-1,0.43287037037,0.56712962963,0,0.481481481481,0.518518518519,0,0.538461538462,0.461538461538,0
04-1067,1,11/8/2005,11,2005,GEORGIA v. SCOTT FITZ RANDOLPH,4,1.0,-0.333333333,-0.6,0.714285714,-0.818181818,3/22/2006,5.0,3.0,0.0,1,-1,-1,1,-1,-0.088777056,0.091458333,0.005833333,0.063267824,0.03266369,5.0,3.0,0.0,0.0,1,2.0,2.0,1,6.0,1,0,0,0,822,0,9,1,57,291,69,5,2,23,6,298,51,4,1,19,7,139,505,0,9,8,30,304,7,6,0,26,3,0.118,0.909,0.0,0.157894736842,0,0.0,14.4210526316,-1,0.0,1.0,-1,0.0172413793103,0.98275862069,-1,0.0,1.0,-1,0.217391304348,0.333333333333,0,12.652173913,11.5,1,0.808333333333,0.191666666667,1,0.793103448276,0.206896551724,1,0.714285714286,0.285714285714,1,0.210526315789,0.142857142857,0,15.6842105263,7.28571428571,1,0.853868194842,0.146131805158,1,0.730769230769,0.269230769231,1,0.8,0.2,1,0.0,0.3,-1,17.375,16.8333333333,1,0.215838509317,0.784161490683,-1,0.210526315789,0.789473684211,-1,0.0,1.0,-1,0.230769230769,0.0,1,11.6923076923,2.33333333333,1,0.977491961415,0.0225080385852,1,0.896551724138,0.103448275862,1,1.0,0.0,1
04-1084,0,11/1/2005,11,2005,ALBERTO R. GONZALES ATTORNEY GENERAL et al. v. O CENTRO ESPIRITA BENEFICENTE UNIAO DO VEGETAL et al.,-2,-0.2,-0.666666667,0.333333333,0.333333333,0.28,2/21/2006,8.0,0.0,0.0,1,-1,0,0,1,0.019966687,-0.111318681,-0.041454545,-0.047952098,0.117112811,2.0,15.0,10.0,10.0,1,2.0,2.0,3,2.0,1,0,0,221,556,1,12,20,51,498,217,9,4,34,13,214,170,4,1,13,8,337,330,6,6,19,29,181,381,0,6,13,37,0.414,0.879,0.05,0.235294117647,0,11.05,10.9019607843,0,0.284427284427,0.715572715573,-1,0.281690140845,0.718309859155,-1,0.0769230769231,0.923076923077,-1,0.264705882353,0.307692307692,0,14.6470588235,16.6923076923,-1,0.696503496503,0.303496503497,1,0.723404255319,0.276595744681,1,0.692307692308,0.307692307692,1,0.307692307692,0.125,0,16.4615384615,21.25,-1,0.557291666667,0.442708333333,0,0.619047619048,0.380952380952,1,0.8,0.2,1,0.315789473684,0.206896551724,0,17.7368421053,11.3793103448,1,0.505247376312,0.494752623688,0,0.395833333333,0.604166666667,-1,0.5,0.5,0,0.0,0.162162162162,0,13.9230769231,10.2972972973,1,0.32206405694,0.67793594306,-1,0.26,0.74,-1,0.0,1.0,-1
04-1131,0,12/5/2005,12,2005,TERRY L. WHITMAN v. DEPARTMENT OF TRANSPORTATION et al.,7,0.125,1.0,1.0,0.333333333,-0.230769231,6/5/2006,8.0,0.0,1.0,0,1,0,-1,0,-0.043209325,0.259129464,0.155069444,0.026456207,0.087824405,11.0,2.0,9.0,9.0,1,1.0,2.0,9,11.0,1,0,0,871,760,11,6,57,41,148,355,1,2,9,24,131,138,1,1,8,6,268,42,5,2,12,4,578,405,8,5,39,18,0.043,0.823,0.19298245614,0.146341463415,0,15.2807017544,18.5365853659,-1,0.534028203556,0.465971796444,0,0.581632653061,0.418367346939,0,0.647058823529,0.352941176471,1,0.111111111111,0.0833333333333,0,16.4444444444,14.7916666667,1,0.294234592445,0.705765407555,-1,0.272727272727,0.727272727273,-1,0.333333333333,0.666666666667,-1,0.125,0.166666666667,0,16.375,23.0,-1,0.486988847584,0.513011152416,0,0.571428571429,0.428571428571,0,0.5,0.5,0,0.416666666667,0.5,0,22.3333333333,10.5,1,0.864516129032,0.135483870968,1,0.75,0.25,1,0.714285714286,0.285714285714,1,0.205128205128,0.277777777778,0,14.8205128205,22.5,-1,0.587995930824,0.412004069176,0,0.684210526316,0.315789473684,1,0.615384615385,0.384615384615,1
04-1140,0,11/8/2005,11,2005,GERALD T. MARTIN ET UX. v. FRANKLIN CAPITAL CORPORATION et al.,-4,-0.714285714,-0.454545455,0.333333333,-0.2,1.0,12/7/2005,9.0,0.0,0.0,-1,-1,-1,-1,1,0.32205267,-0.083727241,-0.062202381,-0.003333333,-0.004398148,14.0,1.0,10.0,10.0,1,1.0,2.0,6,2.0,1,0,0,367,130,7,1,25,11,396,126,7,1,30,9,165,81,2,3,12,6,294,182,0,1,12,9,0,228,0,4,1,15,0.179,0.445,0.28,0.0909090909091,0,14.68,11.8181818182,1,0.738430583501,0.261569416499,1,0.694444444444,0.305555555556,1,0.875,0.125,1,0.233333333333,0.111111111111,0,13.2,14.0,-1,0.758620689655,0.241379310345,1,0.769230769231,0.230769230769,1,0.875,0.125,1,0.166666666667,0.5,-1,13.75,13.5,1,0.670731707317,0.329268292683,1,0.666666666667,0.333333333333,1,0.4,0.6,0,0.0,0.111111111111,0,24.5,20.2222222222,1,0.617647058824,0.382352941176,1,0.571428571429,0.428571428571,0,0.0,1.0,-1,0.0,0.266666666667,-1,0.0,15.2,-1,0.0,1.0,-1,0.0625,0.9375,-1,0.0,1.0,-1
04-1144,1,11/30/2005,11,2005,KELLY A. AYOTTE ATTORNEY GENERAL OF NEW HAMPSHIRE v. PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND et al.,4,0.0,0.0,0.6,0.428571429,0.5,1/18/2006,9.0,0.0,1.0,-1,-1,0,1,0,0.1135386,-0.023327637,0.01308171,0.013951049,-0.129584459,0.0,14.0,1.0,1.0,1,2.0,2.0,5,11.0,1,0,0,492,277,11,2,23,9,575,230,5,2,36,11,135,172,5,0,9,10,153,354,2,5,7,20,177,192,4,2,14,12,1.0,0.547,0.478260869565,0.222222222222,1,21.3913043478,30.7777777778,-1,0.639791937581,0.360208062419,1,0.71875,0.28125,1,0.846153846154,0.153846153846,1,0.138888888889,0.181818181818,0,15.9722222222,20.9090909091,-1,0.714285714286,0.285714285714,1,0.765957446809,0.234042553191,1,0.714285714286,0.285714285714,1,0.555555555556,0.0,1,15.0,17.2,-1,0.439739413681,0.560260586319,0,0.473684210526,0.526315789474,0,1.0,0.0,1,0.285714285714,0.25,0,21.8571428571,17.7,1,0.301775147929,0.698224852071,-1,0.259259259259,0.740740740741,-1,0.285714285714,0.714285714286,-1,0.285714285714,0.166666666667,0,12.6428571429,16.0,-1,0.479674796748,0.520325203252,0,0.538461538462,0.461538461538,0,0.666666666667,0.333333333333,1
04-1152,0,12/6/2005,12,2005,DONALD H. RUMSFELD SECRETARY OF DEFENSE et al. v. FORUM FOR ACADEMIC AND INSTITUTIONAL RIGHTS INC. et al.,58,0.714285714,0.4,0.034482759,0.846153846,0.785714286,3/6/2006,8.0,0.0,1.0,1,0,0,1,0,-0.07126713,-0.01276455,-0.014672619,-0.027619048,-0.116143317,2.0,14.0,3.0,3.0,1,2.0,4.0,3,12.0,1,0,0,158,475,3,3,11,35,274,285,4,3,17,17,171,240,3,4,18,22,49,252,0,3,3,23,348,486,5,9,14,42,0.601,0.827,0.272727272727,0.0857142857143,0,14.3636363636,13.5714285714,1,0.249605055292,0.750394944708,-1,0.239130434783,0.760869565217,-1,0.5,0.5,0,0.235294117647,0.176470588235,0,16.1176470588,16.7647058824,-1,0.490161001789,0.509838998211,0,0.5,0.5,0,0.571428571429,0.428571428571,0,0.166666666667,0.181818181818,0,9.5,10.9090909091,-1,0.416058394161,0.583941605839,0,0.45,0.55,0,0.428571428571,0.571428571429,0,0.0,0.130434782609,0,16.3333333333,10.9565217391,1,0.162790697674,0.837209302326,-1,0.115384615385,0.884615384615,-1,0.0,1.0,-1,0.357142857143,0.214285714286,0,24.8571428571,11.5714285714,1,0.41726618705,0.58273381295,0,0.25,0.75,-1,0.357142857143,0.642857142857,-1
04-1170,0,4/25/2006,4,2006,KANSAS v. MICHAEL LEE MARSH II,7,0.2,0.0,1.0,0.5,0.333333333,6/26/2006,5.0,4.0,1.0,0,1,1,1,1,-0.003387897,0.0,-0.033333333,0.096212121,-0.007841615,5.0,3.0,0.0,0.0,1,2.0,4.0,1,2.0,1,0,0,426,321,3,2,16,26,47,81,1,2,2,8,96,227,1,1,6,14,130,236,1,4,6,14,185,728,3,14,11,48,0.119,0.762,0.1875,0.0769230769231,0,26.625,12.3461538462,1,0.570281124498,0.429718875502,0,0.380952380952,0.619047619048,-1,0.6,0.4,0,0.5,0.25,1,23.5,10.125,1,0.3671875,0.6328125,-1,0.2,0.8,-1,0.333333333333,0.666666666667,-1,0.166666666667,0.0714285714286,0,16.0,16.2142857143,-1,0.297213622291,0.702786377709,-1,0.3,0.7,-1,0.5,0.5,0,0.166666666667,0.285714285714,0,21.6666666667,16.8571428571,1,0.355191256831,0.644808743169,-1,0.3,0.7,-1,0.2,0.8,-1,0.272727272727,0.291666666667,0,16.8181818182,15.1666666667,1,0.202628696605,0.797371303395,-1,0.186440677966,0.813559322034,-1,0.176470588235,0.823529411765,-1
04-1186,1,11/28/2005,11,2005,WACHOVIA BANK NATIONAL ASSOCIATION v. DANIEL G. SCHMIDT III et al.,-16,1.0,0.2,-1.0,-1.0,-0.5,1/17/2006,8.0,0.0,1.0,1,1,-1,-1,-1,0.075,0.085947712,0.0,0.205339648,-0.088934676,1.0,8.0,4.0,4.0,1,2.0,5.0,9,2.0,1,0,0,0,84,0,3,1,5,191,288,4,4,13,17,28,0,1,0,2,1,553,223,11,9,39,16,461,244,4,4,24,13,0.265,0.916,0.0,0.6,-1,0.0,16.8,-1,0.0,1.0,-1,0.166666666667,0.833333333333,-1,0.0,1.0,-1,0.307692307692,0.235294117647,0,14.6923076923,16.9411764706,-1,0.398747390397,0.601252609603,-1,0.433333333333,0.566666666667,0,0.5,0.5,0,0.5,0.0,1,14.0,0.0,1,1.0,0.0,1,0.666666666667,0.333333333333,1,1.0,0.0,1,0.282051282051,0.5625,-1,14.1794871795,13.9375,1,0.712628865979,0.287371134021,1,0.709090909091,0.290909090909,1,0.55,0.45,0,0.166666666667,0.307692307692,0,19.2083333333,18.7692307692,1,0.65390070922,0.34609929078,1,0.648648648649,0.351351351351,1,0.5,0.5,0
04-1203,0,11/9/2005,11,2005,UNITED STATES v. GEORGIA et al.,6,0.789473684,0.4,-1.0,-0.333333333,-0.407407407,1/10/2006,9.0,0.0,1.0,1,1,-1,-1,-1,-0.185925363,-0.094191919,-0.528392857,0.101088865,-0.094630213,2.0,5.0,11.0,11.0,1,1.0,2.0,10,11.0,1,0,0,56,535,0,8,2,40,105,372,2,6,7,24,191,16,3,0,12,3,319,119,4,0,18,6,354,233,8,6,32,20,0.1,0.835,0.0,0.2,0,28.0,13.375,1,0.0947546531303,0.90524534687,-1,0.047619047619,0.952380952381,-1,0.0,1.0,-1,0.285714285714,0.25,0,15.0,15.5,-1,0.220125786164,0.779874213836,-1,0.225806451613,0.774193548387,-1,0.25,0.75,-1,0.25,0.0,1,15.9166666667,5.33333333333,1,0.92270531401,0.0772946859903,1,0.8,0.2,1,1.0,0.0,1,0.222222222222,0.0,1,17.7222222222,19.8333333333,-1,0.728310502283,0.271689497717,1,0.75,0.25,1,1.0,0.0,1,0.25,0.3,0,11.0625,11.65,-1,0.603066439523,0.396933560477,1,0.615384615385,0.384615384615,1,0.571428571429,0.428571428571,0
