docket,justiceName,petVote
70-5097,William O. Douglas,1
70-5097,Potter Stewart,0
70-5097,Thurgood Marshall,0
70-5097,"William J. Brennan, Jr.",0
70-5097,Byron R. White,0
70-5097,Warren E. Burger,0
70-5097,Harry A. Blackmun,0
70-9XXX,William O. Douglas,0
70-9XXX,Potter Stewart,0
70-9XXX,Thurgood Marshall,0
70-9XXX,"William J. Brennan, Jr.",0
70-9XXX,Byron R. White,0
70-9XXX,Warren E. Burger,0
70-9XXX,Harry A. Blackmun,0
70-33XX,William O. Douglas,0
70-33XX,Potter Stewart,0
70-33XX,Thurgood Marshall,0
70-33XX,"William J. Brennan, Jr.",0
70-33XX,Byron R. White,0
70-33XX,Warren E. Burger,0
70-33XX,Harry A. Blackmun,0
71-5179,William O. Douglas,0
71-5179,Potter Stewart,0
71-5179,Thurgood Marshall,0
71-5179,"William J. Brennan, Jr.",0
71-5179,Byron R. White,0
71-5179,Warren E. Burger,0
71-5179,Harry A. Blackmun,0
70-97XX,William O. Douglas,0
70-97XX,Potter Stewart,0
70-97XX,Thurgood Marshall,0
70-97XX,"William J. Brennan, Jr.",0
70-97XX,Byron R. White,1
70-97XX,Warren E. Burger,1
70-97XX,Harry A. Blackmun,1
70-11XX,Potter Stewart,0
70-11XX,Thurgood Marshall,0
70-11XX,"William J. Brennan, Jr.",0
70-11XX,Byron R. White,0
70-11XX,Warren E. Burger,0
70-11XX,Harry A. Blackmun,0
70-32XX,William O. Douglas,1
70-32XX,Potter Stewart,0
70-32XX,Thurgood Marshall,0
70-32XX,"William J. Brennan, Jr.",0
70-32XX,Byron R. White,0
70-32XX,Warren E. Burger,0
70-32XX,Harry A. Blackmun,0
70-39XX,William O. Douglas,1
70-39XX,Potter Stewart,0
70-39XX,Thurgood Marshall,0
70-39XX,"William J. Brennan, Jr.",0
70-39XX,Byron R. White,0
70-39XX,Warren E. Burger,0
70-39XX,Harry A. Blackmun,0
70-5041,William O. Douglas,1
70-5041,Potter Stewart,0
70-5041,Thurgood Marshall,0
70-5041,"William J. Brennan, Jr.",1
70-5041,Byron R. White,0
70-5041,Warren E. Burger,0
70-46XX,William O. Douglas,0
70-46XX,Potter Stewart,0
70-46XX,Thurgood Marshall,0
70-46XX,"William J. Brennan, Jr.",0
70-46XX,Byron R. White,1
70-46XX,Warren E. Burger,1
70-46XX,Harry A. Blackmun,1
70-46XX,William O. Douglas,0
70-46XX,Potter Stewart,0
70-46XX,Thurgood Marshall,0
70-46XX,"William J. Brennan, Jr.",0
70-46XX,Byron R. White,1
70-46XX,Warren E. Burger,1
70-46XX,Harry A. Blackmun,1
70-71XX,William O. Douglas,0
70-71XX,Potter Stewart,0
70-71XX,Thurgood Marshall,0
70-71XX,Byron R. White,0
70-71XX,Warren E. Burger,1
70-71XX,Harry A. Blackmun,1
70-90XX,William O. Douglas,1
70-90XX,Potter Stewart,1
70-90XX,"William J. Brennan, Jr.",1
70-90XX,Byron R. White,0
70-90XX,Warren E. Burger,0
70-90XX,Harry A. Blackmun,0
70-90XX,William O. Douglas,1
70-90XX,Potter Stewart,1
70-90XX,"William J. Brennan, Jr.",1
70-90XX,Byron R. White,0
70-90XX,Warren E. Burger,0
70-90XX,Harry A. Blackmun,0
70-79XX,William O. Douglas,1
70-79XX,Potter Stewart,0
70-79XX,Thurgood Marshall,0
70-79XX,"William J. Brennan, Jr.",1
70-79XX,Byron R. White,1
70-79XX,Warren E. Burger,0
70-79XX,Harry A. Blackmun,0
70-86XX,William O. Douglas,0
70-86XX,Potter Stewart,0
70-86XX,Thurgood Marshall,0
70-86XX,"William J. Brennan, Jr.",0
70-86XX,Byron R. White,0
70-86XX,Warren E. Burger,1
70-86XX,Harry A. Blackmun,1
70-5037,William O. Douglas,1
70-5037,Potter Stewart,0
70-5037,Thurgood Marshall,1
70-5037,"William J. Brennan, Jr.",1
70-5037,Byron R. White,0
70-5037,Warren E. Burger,0
70-5037,Harry A. Blackmun,0
70-92XX,William O. Douglas,0
70-92XX,Thurgood Marshall,0
70-92XX,Byron R. White,0
70-92XX,Warren E. Burger,0
70-92XX,Harry A. Blackmun,0
71-565X,Potter Stewart,0
71-565X,Thurgood Marshall,0
71-565X,"William J. Brennan, Jr.",0
71-565X,Byron R. White,0
71-565X,Warren E. Burger,0
71-565X,Harry A. Blackmun,0
71-565X,"Lewis F. Powell, Jr.",0
71-565X,William H. Rehnquist,0
70-5122,William O. Douglas,1
70-5122,Potter Stewart,0
70-5122,Thurgood Marshall,1
70-5122,"William J. Brennan, Jr.",1
70-5122,Byron R. White,0
70-5122,Warren E. Burger,0
70-5122,Harry A. Blackmun,0
70-5122,"Lewis F. Powell, Jr.",0
70-5122,William H. Rehnquist,0
70-128X,William O. Douglas,0
70-128X,Potter Stewart,0
70-128X,Thurgood Marshall,0
70-128X,"William J. Brennan, Jr.",0
70-128X,Byron R. White,0
70-128X,Warren E. Burger,0
70-128X,Harry A. Blackmun,0
69-5XXX,Potter Stewart,0
69-5XXX,"William J. Brennan, Jr.",0
69-5XXX,Byron R. White,0
69-5XXX,Warren E. Burger,0
69-5XXX,Harry A. Blackmun,0
70-6XXX,William O. Douglas,1
70-6XXX,Potter Stewart,0
70-6XXX,Thurgood Marshall,0
70-6XXX,"William J. Brennan, Jr.",0
70-6XXX,Warren E. Burger,0
70-6XXX,Harry A. Blackmun,0
70-286X,William O. Douglas,1
70-286X,Potter Stewart,0
70-286X,Thurgood Marshall,0
70-286X,"William J. Brennan, Jr.",0
70-286X,Byron R. White,0
70-286X,Warren E. Burger,0
70-286X,Harry A. Blackmun,0
70-286X,"Lewis F. Powell, Jr.",0
70-286X,William H. Rehnquist,0
70-49XX,William O. Douglas,1
70-49XX,Potter Stewart,0
70-49XX,Thurgood Marshall,0
70-49XX,"William J. Brennan, Jr.",1
70-49XX,Byron R. White,0
70-49XX,Warren E. Burger,0
70-49XX,Harry A. Blackmun,0
70-5038,William O. Douglas,1
70-5038,Potter Stewart,0
70-5038,Thurgood Marshall,1
70-5038,Byron R. White,0
70-13XX,William O. Douglas,0
70-13XX,Potter Stewart,0
70-13XX,Thurgood Marshall,0
70-13XX,"William J. Brennan, Jr.",0
70-13XX,Byron R. White,0
70-13XX,Warren E. Burger,1
70-58XX,William O. Douglas,1
70-58XX,Potter Stewart,1
70-58XX,Thurgood Marshall,1
70-58XX,"William J. Brennan, Jr.",0
70-58XX,Byron R. White,0
70-58XX,Warren E. Burger,0
70-58XX,Harry A. Blackmun,0
70-305X,William O. Douglas,0
70-305X,Potter Stewart,0
70-305X,Thurgood Marshall,1
70-305X,"William J. Brennan, Jr.",0
70-305X,Byron R. White,1
70-305X,Warren E. Burger,0
70-305X,Harry A. Blackmun,1
70-305X,"Lewis F. Powell, Jr.",0
70-305X,William H. Rehnquist,0
68-5009,William O. Douglas,1
68-5009,Potter Stewart,0
68-5009,Thurgood Marshall,1
68-5009,"William J. Brennan, Jr.",1
68-5009,Byron R. White,0
68-5009,Warren E. Burger,0
68-5009,Harry A. Blackmun,0
68-5009,"Lewis F. Powell, Jr.",0
68-5009,William H. Rehnquist,0
70-17XX,Potter Stewart,0
70-17XX,Thurgood Marshall,0
70-17XX,"William J. Brennan, Jr.",0
70-17XX,Warren E. Burger,1
70-17XX,Potter Stewart,0
70-17XX,Thurgood Marshall,0
70-17XX,"William J. Brennan, Jr.",0
70-17XX,Warren E. Burger,1
70-26XX,William O. Douglas,0
70-26XX,Potter Stewart,0
70-26XX,Thurgood Marshall,0
70-26XX,"William J. Brennan, Jr.",0
70-26XX,Byron R. White,0
70-26XX,Warren E. Burger,1
70-26XX,Harry A. Blackmun,1
70-113X,William O. Douglas,0
70-113X,Thurgood Marshall,0
70-113X,"William J. Brennan, Jr.",0
70-113X,Byron R. White,0
70-113X,Warren E. Burger,1
70-113X,Harry A. Blackmun,1
70-113X,William O. Douglas,0
70-113X,Thurgood Marshall,0
70-113X,"William J. Brennan, Jr.",0
70-113X,Byron R. White,0
70-113X,Warren E. Burger,1
70-113X,Harry A. Blackmun,1
70-212X,William O. Douglas,1
70-212X,Potter Stewart,0
70-212X,Thurgood Marshall,0
70-212X,"William J. Brennan, Jr.",0
70-212X,Byron R. White,0
70-212X,Warren E. Burger,0
70-212X,Harry A. Blackmun,0
70-212X,William H. Rehnquist,0
70-212X,William O. Douglas,1
70-212X,Potter Stewart,0
70-212X,Thurgood Marshall,0
70-212X,"William J. Brennan, Jr.",0
70-212X,Byron R. White,0
70-212X,Warren E. Burger,0
70-212X,Harry A. Blackmun,0
70-212X,William H. Rehnquist,0
70-212X,William O. Douglas,1
70-212X,Potter Stewart,0
70-212X,Thurgood Marshall,0
70-212X,"William J. Brennan, Jr.",0
70-212X,Byron R. White,0
70-212X,Warren E. Burger,0
70-212X,Harry A. Blackmun,0
70-212X,William H. Rehnquist,0
70-34XX,William O. Douglas,1
70-34XX,Potter Stewart,0
70-34XX,Thurgood Marshall,0
70-34XX,"William J. Brennan, Jr.",1
70-34XX,Byron R. White,0
70-34XX,Warren E. Burger,0
70-34XX,Harry A. Blackmun,1
70-34XX,William O. Douglas,1
70-34XX,Potter Stewart,0
70-34XX,Thurgood Marshall,0
70-34XX,"William J. Brennan, Jr.",1
70-34XX,Byron R. White,0
70-34XX,Warren E. Burger,0
70-34XX,Harry A. Blackmun,1
49 ORIG,William O. Douglas,0
49 ORIG,Potter Stewart,0
49 ORIG,Thurgood Marshall,0
49 ORIG,"William J. Brennan, Jr.",0
49 ORIG,Byron R. White,0
49 ORIG,Warren E. Burger,0
49 ORIG,Harry A. Blackmun,0
49 ORIG,"Lewis F. Powell, Jr.",0
49 ORIG,William H. Rehnquist,0
49 ORIG,William O. Douglas,0
49 ORIG,Potter Stewart,0
49 ORIG,Thurgood Marshall,0
49 ORIG,"William J. Brennan, Jr.",0
49 ORIG,Byron R. White,0
49 ORIG,Warren E. Burger,0
49 ORIG,Harry A. Blackmun,0
49 ORIG,"Lewis F. Powell, Jr.",0
49 ORIG,William H. Rehnquist,0
49 ORIG,William O. Douglas,0
49 ORIG,Potter Stewart,0
49 ORIG,Thurgood Marshall,0
49 ORIG,"William J. Brennan, Jr.",0
49 ORIG,Byron R. White,0
49 ORIG,Warren E. Burger,0
49 ORIG,Harry A. Blackmun,0
49 ORIG,"Lewis F. Powell, Jr.",0
49 ORIG,William H. Rehnquist,0
45 ORIG,William O. Douglas,0
45 ORIG,Potter Stewart,0
45 ORIG,Thurgood Marshall,0
45 ORIG,"William J. Brennan, Jr.",0
45 ORIG,Byron R. White,0
45 ORIG,Warren E. Burger,0
45 ORIG,Harry A. Blackmun,0
45 ORIG,William H. Rehnquist,0
45 ORIG,William O. Douglas,0
45 ORIG,Potter Stewart,0
45 ORIG,Thurgood Marshall,0
45 ORIG,"William J. Brennan, Jr.",0
45 ORIG,Byron R. White,0
45 ORIG,Warren E. Burger,0
45 ORIG,Harry A. Blackmun,0
45 ORIG,William H. Rehnquist,0
40 ORIG,Warren E. Burger,0
40 ORIG,William O. Douglas,0
40 ORIG,"William J. Brennan, Jr.",0
40 ORIG,Potter Stewart,0
40 ORIG,Byron R. White,0
40 ORIG,Thurgood Marshall,0
40 ORIG,Harry A. Blackmun,0
40 ORIG,"Lewis F. Powell, Jr.",0
40 ORIG,William H. Rehnquist,0
70-110X,Thurgood Marshall,0
70-110X,Warren E. Burger,0
70-110X,Harry A. Blackmun,0
71-5172,William O. Douglas,1
71-5172,Thurgood Marshall,1
71-5172,"William J. Brennan, Jr.",0
71-5172,Byron R. White,0
71-5172,Warren E. Burger,0
71-5172,Harry A. Blackmun,0
71-5172,"Lewis F. Powell, Jr.",0
71-5172,William H. Rehnquist,0
71-123X,William O. Douglas,0
71-123X,Potter Stewart,0
71-123X,Thurgood Marshall,0
71-123X,Byron R. White,0
71-123X,Harry A. Blackmun,0
71-198X,William O. Douglas,0
71-198X,Potter Stewart,0
71-198X,Thurgood Marshall,0
71-198X,"William J. Brennan, Jr.",1
71-198X,Byron R. White,0
71-198X,Warren E. Burger,1
71-198X,Harry A. Blackmun,0
71-198X,"Lewis F. Powell, Jr.",1
71-198X,William H. Rehnquist,1
71-300X,William O. Douglas,1
71-300X,Potter Stewart,0
71-300X,Thurgood Marshall,0
71-300X,"William J. Brennan, Jr.",0
71-300X,Byron R. White,0
71-300X,Warren E. Burger,0
71-300X,Harry A. Blackmun,0
71-300X,William H. Rehnquist,0
71-107X,William O. Douglas,0
71-107X,Potter Stewart,0
71-107X,Thurgood Marshall,0
71-107X,"William J. Brennan, Jr.",0
71-107X,Byron R. White,0
71-107X,Warren E. Burger,0
71-107X,Harry A. Blackmun,0
71-107X,William H. Rehnquist,0
69-5035,William O. Douglas,1
69-5035,Potter Stewart,1
69-5035,Thurgood Marshall,1
69-5035,"William J. Brennan, Jr.",1
69-5035,Byron R. White,0
69-5035,Warren E. Burger,0
69-5035,William H. Rehnquist,0
69-5035,William O. Douglas,1
69-5035,Potter Stewart,1
69-5035,Thurgood Marshall,1
69-5035,"William J. Brennan, Jr.",1
69-5035,Byron R. White,0
69-5035,Warren E. Burger,0
69-5035,William H. Rehnquist,0
69-5035,William O. Douglas,1
69-5035,Potter Stewart,1
69-5035,Thurgood Marshall,1
69-5035,"William J. Brennan, Jr.",1
69-5035,Byron R. White,0
69-5035,Warren E. Burger,0
69-5035,William H. Rehnquist,0
69-5046,William O. Douglas,1
69-5046,Potter Stewart,1
69-5046,Thurgood Marshall,1
69-5046,"William J. Brennan, Jr.",1
69-5046,Warren E. Burger,0
69-5046,William H. Rehnquist,0
69-5046,William O. Douglas,1
69-5046,Potter Stewart,1
69-5046,Thurgood Marshall,1
69-5046,"William J. Brennan, Jr.",1
69-5046,Warren E. Burger,0
69-5046,William H. Rehnquist,0
70-220X,William O. Douglas,1
70-220X,Potter Stewart,0
70-220X,Thurgood Marshall,0
70-220X,"William J. Brennan, Jr.",1
70-220X,Byron R. White,1
70-220X,Warren E. Burger,0
70-220X,Harry A. Blackmun,1
70-220X,"Lewis F. Powell, Jr.",0
70-220X,William H. Rehnquist,0
70-220X,William O. Douglas,1
70-220X,Potter Stewart,0
70-220X,Thurgood Marshall,0
70-220X,"William J. Brennan, Jr.",1
70-220X,Byron R. White,1
70-220X,Warren E. Burger,0
70-220X,Harry A. Blackmun,1
70-220X,"Lewis F. Powell, Jr.",0
70-220X,William H. Rehnquist,0
70-117X,William O. Douglas,1
70-117X,Potter Stewart,0
70-117X,Thurgood Marshall,1
70-117X,Byron R. White,0
70-117X,Warren E. Burger,0
70-117X,Harry A. Blackmun,0
70-117X,"Lewis F. Powell, Jr.",0
70-117X,William O. Douglas,1
70-117X,Potter Stewart,0
70-117X,Thurgood Marshall,1
70-117X,Byron R. White,0
70-117X,Warren E. Burger,0
70-117X,Harry A. Blackmun,0
70-117X,"Lewis F. Powell, Jr.",0
69-4XXX,William O. Douglas,1
69-4XXX,Potter Stewart,0
69-4XXX,Thurgood Marshall,1
69-4XXX,Byron R. White,0
69-4XXX,Warren E. Burger,0
69-4XXX,Harry A. Blackmun,0
69-4XXX,"Lewis F. Powell, Jr.",0
69-4XXX,William O. Douglas,1
69-4XXX,Potter Stewart,0
69-4XXX,Thurgood Marshall,1
69-4XXX,Byron R. White,0
69-4XXX,Warren E. Burger,0
69-4XXX,Harry A. Blackmun,0
69-4XXX,"Lewis F. Powell, Jr.",0
70-7XXX,William O. Douglas,1
