,docket,win
0,00-1011,1
1,00-1021,0
2,00-1028,0
3,00-1045,1
4,00-10666,0
5,00-1072,1
6,00-1073,1
7,00-1089,1
8,00-1167,0
9,00-1187,1
10,00-121X,1
11,00-1210,1
12,00-1214,0
13,00-1249,0
14,00-1250,1
15,00-1260,1
16,00-1293,1
17,00-1307,0
18,00-132X,1
19,00-1406,1
20,00-1471,0
21,00-151X,1
22,00-1514,0
23,00-1519,1
24,00-152X,1
25,00-1531,1
26,00-1543,0
27,00-1567,0
28,00-157X,1
29,00-1595,1
30,00-1614,0
31,00-1737,1
32,00-1751,1
33,00-1770,1
34,00-1831,1
35,00-1853,1
36,00-189X,0
37,00-191X,1
38,00-1937,1
39,00-201X,0
40,00-203X,1
41,00-24XX,0
42,00-262X,1
43,00-276X,0
44,00-292X,1
45,00-346X,0
46,00-347X,0
47,00-391X,0
48,00-454X,1
49,00-492X,0
50,00-507X,0
51,00-511X,0
52,00-5250,1
53,00-549X,0
54,00-568X,0
55,00-596X,1
56,00-5961,0
57,00-6029,0
58,00-6374,1
59,00-6567,0
60,00-6677,1
61,00-6933,1
62,00-730X,0
63,00-758X,1
64,00-763X,1
65,00-767X,0
66,00-795X,0
67,00-799X,1
68,00-832X,1
69,00-836X,1
70,00-8452,1
71,00-853X,1
72,00-860X,1
73,00-866X,1
74,00-878X,2
75,00-927X,1
76,00-9280,1
77,00-9285,0
78,00-949X,1
79,00-952X,1
80,00-957X,1
81,00-973X,1
82,01-1015,1
83,01-1067,0
84,01-10873,1
85,01-1107,1
86,01-1118,1
87,01-1120,1
88,01-1127,1
89,01-1184,1
90,01-1209,0
91,01-1229,1
92,01-1231,1
93,01-1243,0
94,01-1269,1
95,01-1289,1
96,01-131X,1
97,01-1325,0
98,01-1368,0
99,01-1375,1
100,01-1385,1
101,01-1418,1
102,01-1420,1
103,01-1435,1
104,01-1437,0
105,01-1444,1
106,01-147X,1
107,01-1471,1
108,01-1491,1
109,01-1500,1
110,01-1559,1
111,01-1572,0
112,01-1757,1
113,01-1765,1
114,01-1806,1
115,01-1862,1
116,01-188X,0
117,01-270X,1
118,01-298X,1
119,01-301X,1
120,01-309X,1
121,01-332X,1
122,01-339X,0
123,01-339X,1
124,01-344X,0
125,01-394X,1
126,01-400X,1
127,01-408X,1
128,01-417X,1
129,01-419X,1
130,01-455X,1
131,01-46XX,0
132,01-463X,1
133,01-488X,1
134,01-518X,1
135,01-521X,1
136,01-584X,0
137,01-593X,0
138,01-595X,1
139,01-618X,0
140,01-631X,1
141,01-651X,1
142,01-653X,0
143,01-679X,1
144,01-682X,1
145,01-687X,1
146,01-78XX,0
147,01-704X,1
148,01-705X,1
149,01-706X,1
150,01-714X,0
151,01-729X,1
152,01-757X,0
153,01-74XX,0
154,01-62XX,1
155,01-800X,0
156,01-835X,1
157,01-19XX,1
158,01-896X,0
159,01-94XX,0
160,01-950X,1
161,01-963X,0
162,02-10038,1
163,02-1016,1
164,02-102X,1
165,02-1028,1
166,02-1060,1
167,02-1080,1
168,02-1183,1
169,02-1192,1
170,02-1196,1
171,02-1205,1
172,02-1212,1
173,02-1238,1
174,02-1290,1
175,02-1295,1
176,02-1315,1
177,02-1343,1
178,02-1348,0
179,02-1369,1
180,02-137X,1
181,02-1371,0
182,02-1377,0
183,02-1389,1
184,02-1472,1
185,02-1541,1
186,02-1580,0
187,02-1593,1
188,02-1597,1
189,02-1603,1
190,02-1606,0
191,02-1609,1
192,02-1624,1
193,02-1632,1
194,02-1657,1
195,02-1667,0
196,02-1672,1
197,02-1674,1
198,02-1684,1
199,02-1689,1
200,02-1794,1
201,02-1809,0
202,02-182X,1
203,02-1824,1
204,02-1845,1
205,02-196X,0
206,02-215X,1
207,02-241X,0
208,02-258X,1
209,02-271X,1
210,02-281X,1
211,02-29XX,1
212,02-299X,1
213,02-306X,1
214,02-311X,1
215,02-337X,0
216,02-361X,1
217,02-371X,1
218,02-403X,1
219,02-42XX,0
220,02-428X,1
221,02-458X,1
222,02-469X,1
223,02-473X,1
224,02-516X,1
225,02-524X,1
226,02-36XX,1
227,02-64XX,1
228,02-572X,0
229,02-575X,0
230,02-626X,1
231,02-628X,1
232,02-20XX,1
233,02-634X,0
234,02-658X,0
235,02-83XX,1
236,02-679X,0
237,02-682X,1
238,02-69XX,1
239,02-693X,0
240,02-695X,1
241,02-722X,1
242,02-749X,1
243,02-763X,1
244,02-809X,1
245,02-811X,0
246,02-819X,0
247,02-86XX,1
248,02-857X,1
249,02-36XX,1
250,02-891X,0
251,02-65XX,0
252,02-94XX,1
253,02-10XX,1
254,02-954X,1
255,02-964X,1
256,03-101X,1
257,03-10198,1
258,03-1027,1
259,03-1028,1
260,03-1039,1
